
[00:00:00.000 --> 00:00:06.760]   Okay. Let's pray.
[00:46:03.080 --> 00:46:04.080]   Thank you.
[00:46:04.080 --> 00:46:05.080]   Thank you.
[00:46:05.080 --> 00:46:06.080]   Thank you.
[00:46:06.080 --> 00:46:07.080]   Thank you.
[00:46:07.080 --> 00:46:08.080]   Thank you.
[00:46:08.080 --> 00:46:09.080]   Thank you.
[00:46:09.080 --> 00:46:10.080]   Thank you.
[00:46:10.080 --> 00:46:11.080]   Thank you.
[00:46:11.080 --> 00:46:12.080]   Thank you.
[00:46:12.080 --> 00:46:13.080]   Thank you.
[00:46:13.080 --> 00:46:14.080]   Thank you.
[00:46:14.080 --> 00:46:15.080]   Thank you.
[00:46:15.080 --> 00:46:16.080]   Thank you.
[00:46:16.080 --> 00:46:17.080]   Thank you.
[00:46:17.080 --> 00:46:18.080]   Thank you.
[00:46:18.080 --> 00:46:19.080]   Thank you.
[00:46:19.080 --> 00:46:20.080]   Thank you.
[00:46:20.080 --> 00:46:21.080]   Thank you.
[00:46:21.080 --> 00:46:22.080]   Thank you.
[00:46:22.080 --> 00:46:23.080]   Thank you.
[00:46:23.080 --> 00:46:24.080]   Thank you.
[00:46:24.080 --> 00:46:25.080]   Thank you.
[00:46:25.080 --> 00:46:26.080]   Thank you.
[00:46:26.080 --> 00:46:27.080]   Thank you.
[00:46:27.080 --> 00:46:28.080]   Thank you.
[00:46:28.080 --> 00:46:29.080]   Thank you.
[00:46:29.080 --> 00:46:30.080]   Thank you.
[00:46:30.080 --> 00:46:31.080]   Thank you.
[00:46:31.080 --> 00:46:32.080]   Thank you.
[00:46:32.080 --> 00:46:33.080]   Thank you.
[00:46:33.080 --> 00:46:34.080]   Thank you.
[00:46:34.080 --> 00:46:35.080]   Thank you.
[00:46:35.080 --> 00:46:36.080]   Thank you.
[00:46:36.080 --> 00:46:37.080]   Thank you.
[00:46:37.080 --> 00:46:38.080]   Thank you.
[00:46:38.080 --> 00:46:39.080]   Thank you.
[00:46:39.080 --> 00:46:40.080]   Thank you.
[00:46:40.080 --> 00:46:41.080]   Thank you.
[00:46:41.080 --> 00:46:42.080]   Thank you.
[00:46:42.080 --> 00:46:43.080]   Thank you.
[00:46:43.080 --> 00:46:44.080]   Thank you.
[00:46:44.080 --> 00:46:45.080]   Thank you.
[00:46:45.080 --> 00:46:46.080]   Thank you.
[00:46:46.080 --> 00:46:47.080]   Thank you.
[00:46:47.080 --> 00:46:48.080]   Thank you.
[00:46:48.080 --> 00:46:49.080]   Thank you.
[00:46:49.080 --> 00:46:50.080]   Thank you.
[00:46:50.080 --> 00:46:51.080]   Thank you.
[00:46:51.080 --> 00:46:51.080]   Thank you.
[00:46:51.080 --> 00:46:52.080]   Thank you.
[00:46:52.080 --> 00:46:53.080]   Thank you.
[00:46:53.080 --> 00:46:54.080]   Thank you.
[00:46:54.080 --> 00:46:55.080]   Thank you.
[00:46:55.080 --> 00:46:56.080]   Thank you.
[00:46:56.080 --> 00:46:57.080]   Thank you.
[00:46:57.080 --> 00:46:58.080]   Thank you.
[00:46:58.080 --> 00:46:59.080]   Thank you.
[00:46:59.080 --> 00:46:59.080]   Thank you.
[00:46:59.080 --> 00:47:00.080]   Thank you.
[00:47:00.080 --> 00:47:01.080]   Thank you.
[00:47:01.080 --> 00:47:02.080]   Thank you.
[00:47:02.080 --> 00:47:03.080]   Thank you.
[00:47:03.080 --> 00:47:04.080]   Thank you.
[00:47:04.080 --> 00:47:05.080]   Thank you.
[00:47:05.080 --> 00:47:06.080]   Thank you.
[00:47:06.080 --> 00:47:07.080]   Thank you.
[00:47:07.080 --> 00:47:08.080]   Thank you.
[00:47:08.080 --> 00:47:09.080]   Thank you.
[00:47:09.080 --> 00:47:09.080]   Thank you.
[00:47:09.080 --> 00:47:10.080]   Thank you.
[00:47:10.080 --> 00:47:11.080]   Thank you.
[00:47:11.080 --> 00:47:12.080]   Thank you.
[00:47:12.080 --> 00:47:13.080]   Thank you.
[00:47:13.080 --> 00:47:14.080]   Thank you.
[00:47:14.080 --> 00:47:15.080]   Thank you.
[00:47:15.080 --> 00:47:16.080]   Thank you.
[00:47:16.080 --> 00:47:17.080]   Thank you.
[00:47:17.080 --> 00:47:18.080]   Thank you.
[00:47:18.080 --> 00:47:19.080]   Thank you.
[00:47:19.080 --> 00:47:20.080]   Thank you.
[00:47:20.080 --> 00:47:21.080]   Thank you.
[00:47:21.080 --> 00:47:22.080]   Thank you.
[00:47:22.080 --> 00:47:23.080]   Thank you.
[00:47:23.080 --> 00:47:24.080]   Thank you.
[00:47:24.080 --> 00:47:25.080]   Thank you.
[00:47:25.080 --> 00:47:26.080]   Thank you.
[00:47:26.080 --> 00:47:27.080]   Thank you.
[00:47:27.080 --> 00:47:28.080]   Thank you.
[00:47:28.080 --> 00:47:29.080]   Thank you.
[00:47:29.080 --> 00:47:30.080]   Thank you.
[00:47:30.080 --> 00:47:31.080]   Thank you.
[00:47:31.080 --> 00:47:31.080]   Thank you.
[00:47:31.080 --> 00:47:32.080]   Thank you.
[00:47:32.080 --> 00:47:33.080]   Thank you.
[00:47:33.080 --> 00:47:34.080]   Thank you.
[00:47:34.080 --> 00:47:35.080]   Thank you.
[00:47:35.080 --> 00:47:36.080]   Thank you.
[00:47:36.080 --> 00:47:37.080]   Thank you.
[00:47:37.080 --> 00:47:38.080]   Thank you.
[00:47:38.080 --> 00:47:39.080]   Thank you.
[00:47:39.080 --> 00:47:40.080]   Thank you.
[00:47:40.080 --> 00:47:41.080]   Thank you.
[00:47:41.080 --> 00:47:42.080]   Thank you.
[00:47:42.080 --> 00:47:43.080]   Thank you.
[00:47:43.080 --> 00:47:44.080]   Thank you.
[00:47:44.080 --> 00:47:45.080]   Thank you.
[00:47:45.080 --> 00:47:46.080]   Thank you.
[00:47:46.080 --> 00:47:46.080]   Thank you.
[00:47:46.080 --> 00:47:47.080]   Thank you.
[00:47:47.080 --> 00:47:48.080]   Thank you.
[00:47:48.080 --> 00:47:49.080]   Thank you.
[00:47:49.080 --> 00:47:50.080]   Thank you.
[00:47:50.080 --> 00:47:51.080]   Thank you.
[00:47:51.080 --> 00:47:53.080]   Thank you.
[00:47:53.080 --> 00:47:54.080]   Thank you.
[00:47:54.080 --> 00:47:55.080]   Thank you.
[00:47:55.080 --> 00:47:56.080]   Thank you.
[00:47:56.080 --> 00:47:57.080]   Thank you.
[00:47:57.080 --> 00:47:58.080]   Thank you.
[00:47:58.080 --> 00:47:59.080]   Thank you.
[00:47:59.080 --> 00:48:00.080]   Thank you.
[00:48:00.080 --> 00:48:01.080]   Thank you.
[00:48:01.080 --> 00:48:02.080]   Thank you.
[00:48:02.080 --> 00:48:03.080]   Thank you.
[00:48:03.080 --> 00:48:04.080]   Thank you.
[00:48:04.080 --> 00:48:05.080]   Thank you.
[00:48:05.080 --> 00:48:06.080]   Thank you.
[00:48:06.080 --> 00:48:07.080]   Thank you.
[00:48:07.080 --> 00:48:08.080]   Thank you.
[00:48:08.080 --> 00:48:09.080]   Thank you.
[00:48:09.080 --> 00:48:10.080]   Thank you.
[00:48:10.080 --> 00:48:11.080]   Thank you.
[00:48:11.080 --> 00:48:12.080]   Thank you.
[00:48:12.080 --> 00:48:13.080]   Thank you.
[00:48:13.080 --> 00:48:14.080]   Thank you.
[00:48:14.080 --> 00:48:15.080]   Thank you.
[00:48:15.080 --> 00:48:16.080]   Thank you.
[00:48:16.080 --> 00:48:17.080]   Thank you.
[00:48:17.080 --> 00:48:18.080]   Thank you.
[00:48:18.080 --> 00:48:19.080]   Thank you.
[00:48:19.080 --> 00:48:20.080]   Thank you.
[00:48:20.080 --> 00:48:21.080]   Thank you.
[00:48:21.080 --> 00:48:22.080]   Thank you.
[00:48:22.080 --> 00:48:23.080]   Thank you.
[00:48:23.080 --> 00:48:24.080]   Thank you.
[00:48:24.080 --> 00:48:25.080]   Thank you.
[00:48:25.080 --> 00:48:26.080]   Thank you.
[00:48:26.080 --> 00:48:27.080]   Thank you.
[00:48:27.080 --> 00:48:28.080]   Thank you.
[00:48:28.080 --> 00:48:29.080]   Thank you.
[00:48:29.080 --> 00:48:30.080]   Thank you.
[00:48:30.080 --> 00:48:31.080]   Thank you.
[00:48:31.080 --> 00:48:32.080]   Thank you.
[00:48:32.080 --> 00:48:32.080]   Thank you.
[00:48:32.080 --> 00:48:33.080]   Thank you.
[00:48:33.080 --> 00:48:34.080]   Thank you.
[00:48:34.080 --> 00:48:35.080]   Thank you.
[00:48:35.080 --> 00:48:36.080]   Thank you.
[00:48:36.080 --> 00:48:37.080]   Thank you.
[00:48:37.080 --> 00:48:38.080]   Thank you.
[00:48:38.080 --> 00:48:39.080]   Thank you.
[00:48:39.080 --> 00:48:40.080]   Thank you.
[00:48:40.080 --> 00:48:41.080]   Thank you.
[00:48:41.080 --> 00:48:42.080]   Thank you.
[00:48:42.080 --> 00:48:43.080]   Thank you.
[00:48:43.080 --> 00:48:44.080]   Thank you.
[00:48:44.080 --> 00:48:45.080]   Thank you.
[00:48:45.080 --> 00:48:46.080]   Thank you.
[00:48:46.080 --> 00:48:47.080]   Thank you.
[00:48:47.080 --> 00:48:48.080]   Thank you.
[00:48:48.080 --> 00:48:49.080]   Thank you.
[00:48:49.080 --> 00:48:50.080]   Thank you.
[00:48:50.080 --> 00:48:51.080]   Thank you.
[00:48:51.080 --> 00:48:52.080]   Thank you.
[00:48:52.080 --> 00:48:53.080]   Thank you.
[00:48:53.080 --> 00:48:54.080]   Thank you.
[00:48:54.080 --> 00:48:55.080]   Thank you.
[00:48:55.080 --> 00:48:56.080]   Thank you.
[00:48:56.080 --> 00:48:57.080]   Thank you.
[00:48:57.080 --> 00:48:58.080]   Thank you.
[00:48:58.080 --> 00:48:59.080]   Thank you.
[00:48:59.080 --> 00:48:59.080]   Thank you.
[00:48:59.080 --> 00:49:00.080]   Thank you.
[00:49:00.080 --> 00:49:01.080]   Thank you.
[00:49:01.080 --> 00:49:01.080]   Thank you.
[00:49:01.080 --> 00:49:02.080]   Thank you.
[00:49:02.080 --> 00:49:03.080]   Thank you.
[00:49:03.080 --> 00:49:04.080]   Thank you.
[00:49:04.080 --> 00:49:05.080]   Thank you.
[00:49:05.080 --> 00:49:06.080]   Thank you.
[00:49:06.080 --> 00:49:07.080]   Thank you.
[00:49:07.080 --> 00:49:08.080]   Thank you.
[00:49:08.080 --> 00:49:09.080]   Thank you.
[00:49:09.080 --> 00:49:10.080]   Thank you.
[00:49:10.080 --> 00:49:11.080]   Thank you.
[00:49:11.080 --> 00:49:11.080]   Thank you.
[00:49:11.080 --> 00:49:12.080]   Thank you.
[00:49:12.080 --> 00:49:13.080]   Thank you.
[00:49:13.080 --> 00:49:14.080]   Thank you.
[00:49:14.080 --> 00:49:15.080]   Thank you.
[00:49:15.080 --> 00:49:15.080]   Thank you.
[00:49:15.080 --> 00:49:16.080]   Thank you.
[00:49:16.080 --> 00:49:17.080]   Thank you.
[00:49:17.080 --> 00:49:17.080]   Thank you.
[00:49:17.080 --> 00:49:18.080]   Thank you.
[00:49:18.080 --> 00:49:19.080]   Thank you.
[00:49:19.080 --> 00:49:20.080]   Thank you.
[00:49:20.080 --> 00:49:21.080]   Thank you.
[00:49:21.080 --> 00:49:21.080]   Thank you.
[00:49:21.080 --> 00:49:22.080]   Thank you.
[00:49:22.080 --> 00:49:23.080]   Thank you.
[00:49:23.080 --> 00:49:24.080]   Thank you.
[00:49:24.080 --> 00:49:25.080]   Thank you.
[00:49:25.080 --> 00:49:26.080]   Thank you.
[00:49:26.080 --> 00:49:27.080]   Thank you.
[00:49:27.080 --> 00:49:28.080]   Thank you.
[00:49:28.080 --> 00:49:28.080]   Thank you.
[00:49:28.080 --> 00:49:29.080]   Thank you.
[00:49:29.080 --> 00:49:30.080]   Thank you.
[00:49:30.080 --> 00:49:31.080]   Thank you.
[00:49:31.080 --> 00:49:32.080]   Thank you.
[00:49:32.080 --> 00:49:32.080]   Thank you.
[00:49:32.080 --> 00:49:33.080]   Thank you.
[00:49:33.080 --> 00:49:33.080]   Thank you.
[00:49:33.080 --> 00:49:34.080]   Thank you.
[00:49:34.080 --> 00:49:35.080]   Thank you.
[00:49:35.080 --> 00:49:36.080]   Thank you.
[00:49:36.080 --> 00:49:37.080]   Thank you.
[00:49:37.080 --> 00:49:38.080]   Thank you.
[00:49:38.080 --> 00:49:39.080]   Thank you.
[00:49:39.080 --> 00:49:40.080]   Thank you.
[00:49:40.080 --> 00:49:41.080]   Thank you.
[00:49:41.080 --> 00:49:42.080]   Thank you.
[00:49:42.080 --> 00:49:43.080]   Thank you.
[00:49:43.080 --> 00:49:44.080]   Thank you.
[00:49:44.080 --> 00:49:45.080]   Thank you.
[00:49:45.080 --> 00:49:46.080]   Thank you.
[00:49:46.080 --> 00:49:47.080]   Thank you.
[00:49:47.080 --> 00:49:48.080]   Thank you.
[00:49:48.080 --> 00:49:49.080]   Thank you.
[00:49:49.080 --> 00:49:49.080]   Thank you.
[00:49:49.080 --> 00:49:50.080]   Thank you.
[00:49:50.080 --> 00:49:51.080]   Thank you.
[00:49:51.080 --> 00:49:52.080]   Thank you.
[00:49:52.080 --> 00:49:53.080]   Thank you.
[00:49:53.080 --> 00:49:54.080]   Thank you.
[00:49:54.080 --> 00:49:55.080]   Thank you.
[00:49:55.080 --> 00:49:55.080]   Thank you.
[00:49:55.080 --> 00:49:56.080]   Thank you.
[00:49:56.080 --> 00:49:57.080]   Thank you.
[00:49:57.080 --> 00:49:57.080]   Thank you.
[00:49:57.080 --> 00:49:58.080]   Thank you.
[00:49:58.080 --> 00:49:59.080]   Thank you.
[00:49:59.080 --> 00:50:00.080]   Thank you.
[00:50:00.080 --> 00:50:01.080]   Thank you.
[00:50:01.080 --> 00:50:02.080]   Thank you.
[00:50:02.080 --> 00:50:03.080]   Thank you.
[00:50:03.080 --> 00:50:04.080]   Thank you.
[00:50:04.080 --> 00:50:05.080]   Thank you.
[00:50:05.080 --> 00:50:06.080]   Thank you.
[00:50:06.080 --> 00:50:07.080]   Thank you.
[00:50:07.080 --> 00:50:08.080]   Thank you.
[00:50:08.080 --> 00:50:09.080]   Thank you.
[00:50:09.080 --> 00:50:10.080]   Thank you.
[00:50:10.080 --> 00:50:11.080]   Thank you.
[00:50:11.080 --> 00:50:12.080]   Thank you.
[00:50:12.080 --> 00:50:13.080]   Thank you.
[00:50:13.080 --> 00:50:14.080]   Thank you.
[00:50:14.080 --> 00:50:15.080]   Thank you.
[00:50:15.080 --> 00:50:16.080]   Thank you.
[00:50:16.080 --> 00:50:17.080]   Thank you.
[00:50:17.080 --> 00:50:18.080]   Thank you.
[00:50:18.080 --> 00:50:19.080]   Thank you.
[00:50:19.080 --> 00:50:20.080]   Thank you.
[00:50:20.080 --> 00:50:21.080]   Thank you.
[00:50:21.080 --> 00:50:22.080]   Thank you.
[00:50:22.080 --> 00:50:23.080]   Thank you.
[00:50:23.080 --> 00:50:24.080]   Thank you.
[00:50:24.080 --> 00:50:25.080]   Thank you.
[00:50:25.080 --> 00:50:26.080]   Thank you.
[00:50:26.080 --> 00:50:27.080]   Thank you.
[00:50:27.080 --> 00:50:28.080]   Thank you.
[00:50:28.080 --> 00:50:29.080]   Thank you.
[00:50:29.080 --> 00:50:30.080]   Thank you.
[00:50:30.080 --> 00:50:31.080]   Thank you.
[00:50:31.080 --> 00:50:32.080]   Thank you.
[00:50:32.080 --> 00:50:33.080]   Thank you.
[00:50:33.080 --> 00:50:34.080]   Thank you.
[00:50:34.080 --> 00:50:35.080]   Thank you.
[00:50:35.080 --> 00:50:36.080]   Thank you.
[00:50:36.080 --> 00:50:36.080]   Thank you.
[00:50:36.080 --> 00:50:37.080]   Thank you.
[00:50:37.080 --> 00:50:38.080]   Thank you.
[00:50:38.080 --> 00:50:39.080]   Thank you.
[00:50:39.080 --> 00:50:40.080]   Thank you.
[00:50:40.080 --> 00:50:40.080]   Thank you.
[00:50:40.080 --> 00:50:41.080]   Thank you.
[00:50:41.080 --> 00:50:42.080]   Thank you.
[00:50:42.080 --> 00:50:43.080]   Thank you.
[00:50:43.080 --> 00:50:44.080]   Thank you.
[00:50:44.080 --> 00:50:45.080]   Thank you.
[00:50:45.080 --> 00:50:46.080]   Thank you.
[00:50:46.080 --> 00:50:47.080]   Thank you.
[00:50:47.080 --> 00:50:48.080]   Thank you.
[00:50:48.080 --> 00:50:49.080]   Thank you.
[00:50:49.080 --> 00:50:50.080]   Thank you.
[00:50:50.080 --> 00:50:51.080]   Thank you.
[00:50:51.080 --> 00:50:52.080]   Thank you.
[00:50:52.080 --> 00:50:53.080]   Thank you.
[00:50:53.080 --> 00:50:54.080]   Thank you.
[00:50:54.080 --> 00:50:55.080]   Thank you.
[00:50:55.080 --> 00:50:56.080]   Thank you.
[00:50:56.080 --> 00:50:57.080]   Thank you.
[00:50:57.080 --> 00:50:58.080]   Thank you.
[00:50:58.080 --> 00:50:59.080]   Thank you.
[00:50:59.080 --> 00:50:59.080]   Thank you.
[00:50:59.080 --> 00:51:00.080]   Thank you.
[00:51:00.080 --> 00:51:01.080]   Thank you.
[00:51:01.080 --> 00:51:02.080]   Thank you.
[00:51:02.080 --> 00:51:03.080]   Thank you.
[00:51:03.080 --> 00:51:04.080]   Thank you.
[00:51:04.080 --> 00:51:05.080]   Thank you.
[00:51:05.080 --> 00:51:06.080]   Thank you.
[00:51:06.080 --> 00:51:07.080]   Thank you.
[00:51:07.080 --> 00:51:07.080]   Thank you.
[00:51:07.080 --> 00:51:08.080]   Thank you.
[00:51:08.080 --> 00:51:09.080]   Thank you.
[00:51:09.080 --> 00:51:10.080]   Thank you.
[00:51:10.080 --> 00:51:11.080]   Thank you.
[00:51:11.080 --> 00:51:12.080]   Thank you.
[00:51:12.080 --> 00:51:13.080]   Thank you.
[00:51:13.080 --> 00:51:13.080]   Thank you.
[00:51:13.080 --> 00:51:14.080]   Thank you.
[00:51:14.080 --> 00:51:14.080]   Thank you.
[00:51:14.080 --> 00:51:15.080]   Thank you.
[00:51:15.080 --> 00:51:16.080]   Thank you.
[00:51:16.080 --> 00:51:17.080]   Thank you.
[00:51:17.080 --> 00:51:18.080]   Thank you.
[00:51:18.080 --> 00:51:19.080]   Thank you.
[00:51:19.080 --> 00:51:20.080]   Thank you.
[00:51:20.080 --> 00:51:20.080]   Thank you.
[00:51:20.080 --> 00:51:21.080]   Thank you.
[00:51:21.080 --> 00:51:22.080]   Thank you.
[00:51:22.080 --> 00:51:22.080]   Thank you.
[00:51:22.080 --> 00:51:23.080]   Thank you.
[00:51:23.080 --> 00:51:24.080]   Thank you.
[00:51:24.080 --> 00:51:25.080]   Thank you.
[00:51:25.080 --> 00:51:26.080]   Thank you.
[00:51:26.080 --> 00:51:26.080]   Thank you.
[00:51:26.080 --> 00:51:27.080]   Thank you.
[00:51:27.080 --> 00:51:28.080]   Thank you.
[00:51:28.080 --> 00:51:29.080]   Thank you.
[00:51:29.080 --> 00:51:30.080]   Thank you.
[00:51:30.080 --> 00:51:31.080]   Thank you.
[00:51:31.080 --> 00:51:32.080]   Thank you.
[00:51:32.080 --> 00:51:33.080]   Thank you.
[00:51:33.080 --> 00:51:33.080]   Thank you.
[00:51:33.080 --> 00:51:34.080]   Thank you.
[00:51:34.080 --> 00:51:35.080]   Thank you.
[00:51:35.080 --> 00:51:36.080]   Thank you.
[00:51:36.080 --> 00:51:37.080]   Thank you.
[00:51:37.080 --> 00:51:38.080]   Thank you.
[00:51:38.080 --> 00:51:39.080]   Thank you.
[00:51:39.080 --> 00:51:40.080]   Thank you.
[00:51:40.080 --> 00:51:41.080]   Thank you.
[00:51:41.080 --> 00:51:42.080]   Thank you.
[00:51:42.080 --> 00:51:43.080]   Thank you.
[00:51:43.080 --> 00:51:44.080]   Thank you.
[00:51:44.080 --> 00:51:45.080]   Thank you.
[00:51:45.080 --> 00:51:46.080]   Thank you.
[00:51:46.080 --> 00:51:47.080]   Thank you.
[00:51:47.080 --> 00:51:48.080]   Thank you.
[00:51:48.080 --> 00:51:49.080]   Thank you.
[00:51:49.080 --> 00:51:50.080]   Thank you.
[00:51:50.080 --> 00:51:51.080]   Thank you.
[00:51:51.080 --> 00:51:52.080]   Thank you.
[00:51:52.080 --> 00:51:53.080]   Thank you.
[00:51:53.080 --> 00:51:54.080]   Thank you.
[00:51:54.080 --> 00:51:55.080]   Thank you.
[00:51:55.080 --> 00:51:56.080]   Thank you.
[00:51:56.080 --> 00:51:57.080]   Thank you.
[00:51:57.080 --> 00:51:58.080]   Thank you.
[00:51:58.080 --> 00:51:59.080]   Thank you.
[00:51:59.080 --> 00:52:00.080]   Thank you.
[00:52:00.080 --> 00:52:01.080]   Thank you.
[00:52:01.080 --> 00:52:02.080]   Thank you.
[00:52:02.080 --> 00:52:03.080]   Thank you.
[00:52:03.080 --> 00:52:04.080]   Thank you.
[00:52:04.080 --> 00:52:05.080]   Thank you.
[00:52:05.080 --> 00:52:06.080]   Thank you.
[00:52:06.080 --> 00:52:07.080]   Thank you.
[00:52:07.080 --> 00:52:08.080]   Thank you.
[00:52:08.080 --> 00:52:09.080]   Thank you.
[00:52:09.080 --> 00:52:10.080]   Thank you.
[00:52:10.080 --> 00:52:11.080]   Thank you.
[00:52:11.080 --> 00:52:12.080]   Thank you.
[00:52:12.080 --> 00:52:13.080]   Thank you.
[00:52:13.080 --> 00:52:14.080]   Thank you.
[00:52:14.080 --> 00:52:15.080]   Thank you.
[00:52:15.080 --> 00:52:16.080]   Thank you.
[00:52:16.080 --> 00:52:17.080]   Thank you.
[00:52:17.080 --> 00:52:18.080]   Thank you.
[00:52:18.080 --> 00:52:18.080]   Thank you.
[00:52:18.080 --> 00:52:20.080]   Thank you.
[00:52:20.080 --> 00:52:21.080]   Thank you.
[00:52:21.080 --> 00:52:22.080]   Thank you.
[00:52:22.080 --> 00:52:23.080]   Thank you.
[00:52:23.080 --> 00:52:24.080]   Thank you.
[00:52:24.080 --> 00:52:25.080]   Thank you.
[00:52:25.080 --> 00:52:26.080]   Thank you.
[00:52:26.080 --> 00:52:27.080]   Thank you.
[00:52:27.080 --> 00:52:28.080]   Thank you.
[00:52:28.080 --> 00:52:29.080]   Thank you.
[00:52:29.080 --> 00:52:30.080]   Thank you.
[00:52:30.080 --> 00:52:31.080]   Thank you.
[00:52:31.080 --> 00:52:32.080]   Thank you.
[00:52:32.080 --> 00:52:33.080]   Thank you.
[00:52:33.080 --> 00:52:33.080]   Thank you.
[00:52:33.080 --> 00:52:34.080]   Thank you.
[00:52:34.080 --> 00:52:35.080]   Thank you.
[00:52:35.080 --> 00:52:36.080]   Thank you.
[00:52:36.080 --> 00:52:36.080]   Thank you.
[00:52:36.080 --> 00:52:37.080]   Thank you.
[00:52:37.080 --> 00:52:38.080]   Thank you.
[00:52:38.080 --> 00:52:39.080]   Thank you.
[00:52:39.080 --> 00:52:39.080]   Thank you.
[00:52:39.080 --> 00:52:40.080]   Thank you.
[00:52:40.080 --> 00:52:41.080]   Thank you.
[00:52:41.080 --> 00:52:42.080]   Thank you.
[00:52:42.080 --> 00:52:43.080]   Thank you.
[00:52:43.080 --> 00:52:44.080]   Thank you.
[00:52:44.080 --> 00:52:45.080]   Thank you.
[00:52:45.080 --> 00:52:46.080]   Thank you.
[00:52:46.080 --> 00:52:47.080]   Thank you.
[00:52:47.080 --> 00:52:48.080]   Thank you.
[00:52:48.080 --> 00:52:49.080]   Thank you.
[00:52:49.080 --> 00:52:50.080]   Thank you.
[00:52:50.080 --> 00:52:51.080]   Thank you.
[00:52:51.080 --> 00:52:52.080]   Thank you.
[00:52:52.080 --> 00:52:52.080]   Thank you.
[00:52:52.080 --> 00:52:53.080]   Thank you.
[00:52:53.080 --> 00:52:54.080]   Thank you.
[00:52:54.080 --> 00:52:55.080]   Thank you.
[00:52:55.080 --> 00:52:56.080]   Thank you.
[00:52:56.080 --> 00:52:57.080]   Thank you.
[00:52:57.080 --> 00:52:57.080]   Thank you.
[00:52:57.080 --> 00:52:58.080]   Thank you.
[00:52:58.080 --> 00:52:59.080]   Thank you.
[00:52:59.080 --> 00:53:00.080]   Thank you.
[00:53:00.080 --> 00:53:01.080]   Thank you.
[00:53:01.080 --> 00:53:02.080]   Thank you.
[00:53:02.080 --> 00:53:03.080]   Thank you.
[00:53:03.080 --> 00:53:04.080]   Thank you.
[00:53:04.080 --> 00:53:05.080]   Thank you.
[00:53:05.080 --> 00:53:06.080]   Thank you.
[00:53:06.080 --> 00:53:07.080]   Thank you.
[00:53:07.080 --> 00:53:08.080]   Thank you.
[00:53:08.080 --> 00:53:09.080]   Thank you.
[00:53:09.080 --> 00:53:09.080]   Thank you.
[00:53:09.080 --> 00:53:10.080]   Thank you.
[00:53:10.080 --> 00:53:11.080]   Thank you.
[00:53:11.080 --> 00:53:12.080]   Thank you.
[00:53:12.080 --> 00:53:13.080]   Thank you.
[00:53:13.080 --> 00:53:14.080]   Thank you.
[00:53:14.080 --> 00:53:15.080]   Thank you.
[00:53:15.080 --> 00:53:16.080]   Thank you.
[00:53:16.080 --> 00:53:17.080]   Thank you.
[00:53:17.080 --> 00:53:18.080]   Thank you.
[00:53:18.080 --> 00:53:19.080]   Thank you.
[00:53:19.080 --> 00:53:19.080]   Thank you.
[00:53:19.080 --> 00:53:20.080]   Thank you.
[00:53:20.080 --> 00:53:21.080]   Thank you.
[00:53:21.080 --> 00:53:21.080]   Thank you.
[00:53:21.080 --> 00:53:22.080]   Thank you.
[00:53:22.080 --> 00:53:23.080]   Thank you.
[00:53:23.080 --> 00:53:24.080]   Thank you.
[00:53:24.080 --> 00:53:25.080]   Thank you.
[00:53:25.080 --> 00:53:26.080]   Thank you.
[00:53:26.080 --> 00:53:27.080]   Thank you.
[00:53:27.080 --> 00:53:28.080]   Thank you.
[00:53:28.080 --> 00:53:29.080]   Thank you.
[00:53:29.080 --> 00:53:29.080]   Thank you.
[00:53:29.080 --> 00:53:30.080]   Thank you.
[00:53:30.080 --> 00:53:31.080]   Thank you.
[00:53:31.080 --> 00:53:31.080]   Thank you.
[00:53:31.080 --> 00:53:32.080]   Thank you.
[00:53:32.080 --> 00:53:34.080]   Thank you.
[00:53:34.080 --> 00:53:35.080]   Thank you.
[00:53:35.080 --> 00:53:36.080]   Thank you.
[00:53:36.080 --> 00:53:36.080]   Thank you.
[00:53:36.080 --> 00:53:37.080]   Thank you.
[00:53:37.080 --> 00:53:38.080]   Thank you.
[00:53:38.080 --> 00:53:39.080]   Thank you.
[00:53:39.080 --> 00:53:40.080]   Thank you.
[00:53:40.080 --> 00:53:41.080]   Thank you.
[00:53:41.080 --> 00:53:41.080]   Thank you.
[00:53:41.080 --> 00:53:42.080]   Thank you.
[00:53:42.080 --> 00:53:43.080]   Thank you.
[00:53:43.080 --> 00:53:44.080]   Thank you.
[00:53:44.080 --> 00:53:45.080]   Thank you.
[00:53:45.080 --> 00:53:46.080]   Thank you.
[00:53:46.080 --> 00:53:47.080]   Thank you.
[00:53:47.080 --> 00:53:48.080]   Thank you.
[00:53:48.080 --> 00:53:49.080]   Thank you.
[00:53:49.080 --> 00:53:49.080]   Thank you.
[00:53:49.080 --> 00:53:50.080]   Thank you.
[00:53:50.080 --> 00:53:51.080]   Thank you.
[00:53:51.080 --> 00:53:51.080]   Thank you.
[00:53:51.080 --> 00:53:52.080]   Thank you.
[00:53:52.080 --> 00:53:53.080]   Thank you.
[00:53:53.080 --> 00:53:54.080]   Thank you.
[00:53:54.080 --> 00:53:55.080]   Thank you.
[00:53:55.080 --> 00:53:56.080]   Thank you.
[00:53:56.080 --> 00:53:57.080]   Thank you.
[00:53:57.080 --> 00:53:58.080]   Thank you.
[00:53:58.080 --> 00:53:59.080]   Thank you.
[00:53:59.080 --> 00:53:59.080]   Thank you.
