
[00:00:00.040 --> 00:00:09.560]   PG
[01:39:52.820 --> 01:39:53.820]   I'm going to read the first part of the book.
[01:39:53.820 --> 01:39:54.820]   I'm going to read the first part of the book.
[01:39:54.820 --> 01:39:55.820]   I'm going to read the first part of the book.
[01:39:56.360 --> 01:40:12.860]   I'm going to read the first part of the book.
[01:40:12.860 --> 01:40:13.860]   I'm going to read the first part of the book.
[01:40:13.860 --> 01:40:14.860]   I'm going to read the first part of the book.
[01:40:14.860 --> 01:40:15.860]   I'm going to read the first part of the book.
[01:40:15.860 --> 01:40:16.860]   I'm going to read the first part of the book.
[01:40:16.860 --> 01:40:17.860]   I'm going to read the first part of the book.
[01:40:17.860 --> 01:40:18.860]   I'm going to read the first part of the book.
[01:40:18.860 --> 01:40:19.860]   I'm going to read the first part of the book.
[01:40:19.860 --> 01:40:20.860]   I'm going to read the first part of the book.
[01:40:20.860 --> 01:40:21.860]   I'm going to read the first part of the book.
[01:40:21.860 --> 01:40:22.860]   I'm going to read the first part of the book.
[01:40:22.860 --> 01:40:23.860]   I'm going to read the first part of the book.
[01:40:23.860 --> 01:40:24.860]   I'm going to read the first part of the book.
[01:40:24.860 --> 01:40:25.860]   I'm going to read the first part of the book.
[01:40:25.860 --> 01:40:25.860]   I'm going to read the first part of the book.
[01:40:25.880 --> 01:40:27.900]   I'm going to read the first part of the book.
[01:40:27.900 --> 01:40:28.900]   I'm going to read the first part of the book.
[01:40:28.900 --> 01:40:29.900]   I'm going to read the first part of the book.
[01:40:29.900 --> 01:40:30.900]   I'm going to read the first part of the book.
[01:40:30.900 --> 01:40:31.900]   I'm going to read the first part of the book.
[01:40:31.900 --> 01:40:32.900]   I'm going to read the first part of the book.
[01:40:32.900 --> 01:40:33.900]   I'm going to read the first part of the book.
[01:40:33.900 --> 01:40:34.900]   I'm going to read the first part of the book.
[01:40:34.900 --> 01:40:35.900]   I'm going to read the first part of the book.
[01:40:35.900 --> 01:40:36.900]   I'm going to read the first part of the book.
[01:40:36.900 --> 01:40:37.900]   I'm going to read the first part of the book.
[01:40:37.900 --> 01:40:38.900]   I'm going to read the first part of the book.
[01:40:38.900 --> 01:40:39.900]   I'm going to read the first part of the book.
[01:40:39.900 --> 01:40:40.900]   I'm going to read the first part of the book.
[01:40:40.900 --> 01:40:41.900]   I'm going to read the first part of the book.
[01:40:41.920 --> 01:40:59.940]   I'm going to read the first part of the book.
[01:40:59.940 --> 01:41:00.940]   I'm going to read the first part of the book.
[01:41:00.940 --> 01:41:01.940]   I'm going to read the first part of the book.
[01:41:01.940 --> 01:41:02.940]   I'm going to read the first part of the book.
[01:41:02.940 --> 01:41:03.940]   I'm going to read the first part of the book.
[01:41:03.940 --> 01:41:04.940]   I'm going to read the first part of the book.
[01:41:04.940 --> 01:41:05.940]   I'm going to read the first part of the book.
[01:41:05.940 --> 01:41:06.940]   I'm going to read the first part of the book.
[01:41:06.940 --> 01:41:07.940]   I'm going to read the first part of the book.
[01:41:07.940 --> 01:41:08.940]   I'm going to read the first part of the book.
[01:41:08.940 --> 01:41:09.940]   I'm going to read the first part of the book.
[01:41:09.940 --> 01:41:10.940]   I'm going to read the first part of the book.
[01:41:10.940 --> 01:41:11.940]   I'm going to read the first part of the book.
[01:41:11.940 --> 01:41:11.940]   I'm going to read the first part of the book.
[01:41:11.940 --> 01:41:11.940]   I'm going to read the first part of the book.
[01:41:12.480 --> 01:41:41.980]   I'm going to read the first part of the book.
[01:41:41.980 --> 01:41:41.980]   I'm going to read the first part of the book.
[01:41:41.980 --> 01:41:41.980]   I'm going to read the first part of the book.
[01:41:41.980 --> 01:41:41.980]   I'm going to read the first part of the book.
[01:41:41.980 --> 01:41:41.980]   I'm going to read the first part of the book.
[01:41:41.980 --> 01:41:41.980]   I'm going to read the first part of the book.
[01:41:41.980 --> 01:41:41.980]   I'm going to read the first part of the book.
[01:41:41.980 --> 01:41:41.980]   I'm going to read the first part of the book.
[01:41:41.980 --> 01:41:41.980]   I'm going to read the first part of the book.
[01:41:42.000 --> 01:41:46.020]   I'm going to read the first part of the book.
[01:41:46.020 --> 01:41:47.020]   I'm going to read the first part of the book.
[01:41:47.020 --> 01:41:48.020]   I'm going to read the first part of the book.
[01:41:48.020 --> 01:41:49.020]   I'm going to read the first part of the book.
[01:41:49.020 --> 01:41:50.020]   I'm going to read the first part of the book.
[01:41:50.020 --> 01:41:51.020]   I'm going to read the first part of the book.
[01:41:51.020 --> 01:41:52.020]   I'm going to read the first part of the book.
[01:41:52.020 --> 01:41:53.020]   I'm going to read the first part of the book.
[01:41:53.020 --> 01:41:54.020]   I'm going to read the first part of the book.
[01:41:54.020 --> 01:41:55.020]   I'm going to read the first part of the book.
[01:41:55.020 --> 01:41:56.020]   I'm going to read the first part of the book.
[01:41:56.020 --> 01:41:57.020]   I'm going to read the first part of the book.
[01:41:57.020 --> 01:41:58.020]   I'm going to read the first part of the book.
[01:41:58.020 --> 01:41:59.020]   I'm going to read the first part of the book.
[01:41:59.020 --> 01:42:00.020]   I'm going to read the first part of the book.
[01:42:00.040 --> 01:42:22.060]   I'm going to read the first part of the book.
[01:42:22.060 --> 01:42:23.060]   I'm going to read the first part of the book.
[01:42:23.060 --> 01:42:24.060]   I'm going to read the first part of the book.
[01:42:24.060 --> 01:42:25.060]   I'm going to read the first part of the book.
[01:42:25.060 --> 01:42:26.060]   I'm going to read the first part of the book.
[01:42:26.060 --> 01:42:27.060]   I'm going to read the first part of the book.
[01:42:27.060 --> 01:42:28.060]   I'm going to read the first part of the book.
[01:42:28.060 --> 01:42:29.060]   I'm going to read the first part of the book.
[01:42:29.060 --> 01:42:30.060]   I'm going to read the first part of the book.
[01:42:30.060 --> 01:42:30.060]   I'm going to read the first part of the book.
[01:42:30.060 --> 01:42:30.060]   I'm going to read the first part of the book.
[01:42:30.060 --> 01:42:30.060]   I'm going to read the first part of the book.
[01:42:30.060 --> 01:42:30.060]   I'm going to read the first part of the book.
[01:42:30.060 --> 01:42:30.060]   I'm going to read the first part of the book.
[01:42:30.060 --> 01:42:30.060]   I'm going to read the first part of the book.
[01:42:30.200 --> 01:43:00.100]   I'm going to read the first part of the book.
[01:43:00.100 --> 01:43:00.100]   I'm going to read the first part of the book.
[01:43:00.100 --> 01:43:00.100]   I'm going to read the first part of the book.
[01:43:00.100 --> 01:43:00.100]   I'm going to read the first part of the book.
[01:43:00.100 --> 01:43:00.100]   I'm going to read the first part of the book.
[01:43:00.120 --> 01:43:30.140]   I'm going to read the first part of the book.
[01:43:30.140 --> 01:43:30.140]   I'm going to read the first part of the book.
[01:43:30.140 --> 01:43:30.140]   I'm going to read the first part of the book.
[01:43:30.140 --> 01:43:30.140]   I'm going to read the first part of the book.
[01:43:30.140 --> 01:43:30.140]   I'm going to read the first part of the book.
[01:43:30.140 --> 01:43:30.140]   I'm going to read the first part of the book.
[01:43:30.140 --> 01:43:30.140]   I'm going to read the first part of the book.
[01:43:30.140 --> 01:43:30.140]   I'm going to read the first part of the book.
[01:43:30.140 --> 01:43:30.140]   I'm going to read the first part of the book.
[01:43:30.140 --> 01:43:30.140]   I'm going to read the first part of the book.
[01:43:30.140 --> 01:43:30.140]   I'm going to read the first part of the book.
[01:43:30.140 --> 01:43:30.140]   I'm going to read the first part of the book.
[01:43:30.140 --> 01:43:30.140]   I'm going to read the first part of the book.
[01:43:30.140 --> 01:43:30.140]   I'm going to read the first part of the book.
[01:43:30.140 --> 01:43:30.140]   I'm going to read the first part of the book.
[01:43:30.140 --> 01:44:00.180]   I'm going to read the first part of the book.
[01:44:00.180 --> 01:44:00.180]   I'm going to read the first part of the book.
[01:44:00.180 --> 01:44:00.180]   I'm going to read the first part of the book.
[01:44:00.180 --> 01:44:00.180]   I'm going to read the first part of the book.
[01:44:00.180 --> 01:44:00.180]   I'm going to read the first part of the book.
[01:44:00.180 --> 01:44:00.180]   I'm going to read the first part of the book.
[01:44:00.180 --> 01:44:00.180]   I'm going to read the first part of the book.
[01:44:00.180 --> 01:44:00.180]   I'm going to read the first part of the book.
[01:44:00.180 --> 01:44:00.180]   I'm going to read the first part of the book.
[01:44:00.180 --> 01:44:00.180]   I'm going to read the first part of the book.
[01:44:00.180 --> 01:44:00.180]   I'm going to read the first part of the book.
[01:44:00.180 --> 01:44:00.180]   I'm going to read the first part of the book.
[01:44:00.200 --> 01:44:30.220]   I'm going to read the first part of the book.
[01:44:30.220 --> 01:44:30.220]   I'm going to read the first part of the book.
[01:44:30.220 --> 01:44:30.220]   I'm going to read the first part of the book.
[01:44:30.220 --> 01:44:30.220]   I'm going to read the first part of the book.
[01:44:30.220 --> 01:44:30.220]   I'm going to read the first part of the book.
[01:44:30.220 --> 01:44:30.220]   I'm going to read the first part of the book.
[01:44:30.220 --> 01:44:30.220]   I'm going to read the first part of the book.
[01:44:30.220 --> 01:44:30.220]   I'm going to read the first part of the book.
[01:44:30.220 --> 01:44:30.220]   I'm going to read the first part of the book.
[01:44:30.220 --> 01:44:30.220]   I'm going to read the first part of the book.
[01:44:30.220 --> 01:44:30.220]   I'm going to read the first part of the book.
[01:44:30.220 --> 01:44:30.220]   I'm going to read the first part of the book.
[01:44:30.220 --> 01:44:30.220]   I'm going to read the first part of the book.
[01:44:30.220 --> 01:44:30.220]   I'm going to read the first part of the book.
[01:44:30.220 --> 01:44:30.220]   I'm going to read the first part of the book.
[01:45:00.260 --> 01:45:00.260]   I'm going to read the first part of the book.
[01:45:00.260 --> 01:45:00.260]   I'm going to read the first part of the book.
[01:45:00.260 --> 01:45:00.260]   I'm going to read the first part of the book.
[01:45:00.260 --> 01:45:00.260]   I'm going to read the first part of the book.
[01:45:00.260 --> 01:45:00.260]   I'm going to read the first part of the book.
[01:45:00.260 --> 01:45:00.260]   I'm going to read the first part of the book.
[01:45:00.260 --> 01:45:00.260]   I'm going to read the first part of the book.
[01:45:00.260 --> 01:45:00.260]   I'm going to read the first part of the book.
[01:45:00.260 --> 01:45:00.260]   I'm going to read the first part of the book.
[01:45:00.260 --> 01:45:00.260]   I'm going to read the first part of the book.
[01:45:00.260 --> 01:45:00.260]   I'm going to read the first part of the book.
[01:45:30.300 --> 01:45:30.300]   I'm going to read the first part of the book.
[01:45:30.300 --> 01:45:30.300]   I'm going to read the first part of the book.
[01:45:30.300 --> 01:45:30.300]   I'm going to read the first part of the book.
[01:45:30.300 --> 01:45:30.300]   I'm going to read the first part of the book.
[01:45:30.300 --> 01:45:30.300]   I'm going to read the first part of the book.
[01:45:30.300 --> 01:45:30.300]   I'm going to read the first part of the book.
[01:45:30.300 --> 01:45:30.300]   I'm going to read the first part of the book.
[01:45:30.300 --> 01:45:30.300]   I'm going to read the first part of the book.
[01:45:30.300 --> 01:45:30.300]   I'm going to read the first part of the book.
[01:45:30.300 --> 01:45:30.300]   I'm going to read the first part of the book.
[01:45:30.300 --> 01:45:30.300]   I'm going to read the first part of the book.
[01:45:30.300 --> 01:45:30.300]   I'm going to read the first part of the book.
[01:45:30.300 --> 01:46:00.340]   As I said, I'm going to read the first part of the book.
[01:46:00.340 --> 01:46:00.340]   I'm going to read the first part of the book.
[01:46:00.340 --> 01:46:00.340]   I'm going to read the first part of the book.
[01:46:00.340 --> 01:46:00.340]   I'm going to read the first part of the book.
[01:46:00.340 --> 01:46:00.340]   I'm going to read the first part of the book.
[01:46:00.340 --> 01:46:00.340]   I'm going to read the first part of the book.
[01:46:00.340 --> 01:46:00.340]   I'm going to read the first part of the book.
[01:46:00.340 --> 01:46:00.340]   I'm going to read the first part of the book.
[01:46:00.340 --> 01:46:00.340]   I'm going to read the first part of the book.
[01:46:00.340 --> 01:46:00.340]   I'm going to read the first part of the book.
[01:46:00.340 --> 01:46:00.340]   I'm going to read the first part of the book.
[01:46:00.340 --> 01:46:00.340]   I'm going to read the first part of the book.
[01:46:00.340 --> 01:46:00.340]   I'm going to read the first part of the book.
[01:46:00.340 --> 01:46:00.340]   I'm going to read the first part of the book.
[01:46:00.360 --> 01:46:04.380]   I'm going to read the first part of the book.
[01:46:04.380 --> 01:46:05.380]   I'm going to read the first part of the book.
[01:46:05.380 --> 01:46:06.380]   I'm going to read the first part of the book.
[01:46:06.380 --> 01:46:07.380]   I'm going to read the first part of the book.
[01:46:07.380 --> 01:46:08.380]   I'm going to read the first part of the book.
[01:46:08.380 --> 01:46:09.380]   I'm going to read the first part of the book.
[01:46:09.380 --> 01:46:10.380]   I'm going to read the first part of the book.
[01:46:10.380 --> 01:46:11.380]   I'm going to read the first part of the book.
[01:46:11.380 --> 01:46:12.380]   I'm going to read the first part of the book.
[01:46:12.380 --> 01:46:13.380]   I'm going to read the first part of the book.
[01:46:13.380 --> 01:46:14.380]   I'm going to read the first part of the book.
[01:46:14.380 --> 01:46:15.380]   I'm going to read the first part of the book.
[01:46:15.380 --> 01:46:16.380]   I'm going to read the first part of the book.
[01:46:16.380 --> 01:46:17.380]   I'm going to read the first part of the book.
[01:46:17.380 --> 01:46:18.380]   I'm going to read the first part of the book.
[01:46:18.920 --> 01:46:35.420]   I'm going to read the first part of the book.
[01:46:35.420 --> 01:46:35.420]   I'm going to read the first part of the book.
[01:46:35.420 --> 01:46:35.420]   I'm going to read the first part of the book.
[01:46:35.420 --> 01:46:36.420]   I'm going to read the first part of the book.
[01:46:36.420 --> 01:46:37.420]   I'm going to read the first part of the book.
[01:46:37.420 --> 01:46:38.420]   I'm going to read the first part of the book.
[01:46:38.420 --> 01:46:39.420]   I'm going to read the first part of the book.
[01:46:39.420 --> 01:46:40.420]   I'm going to read the first part of the book.
[01:46:40.420 --> 01:46:41.420]   I'm going to read the first part of the book.
[01:46:41.420 --> 01:46:42.420]   I'm going to read the first part of the book.
[01:46:42.420 --> 01:46:43.420]   I'm going to read the first part of the book.
[01:46:43.420 --> 01:46:44.420]   I'm going to read the first part of the book.
[01:46:44.420 --> 01:46:45.420]   I'm going to read the first part of the book.
[01:46:45.420 --> 01:46:46.420]   I'm going to read the first part of the book.
[01:46:46.420 --> 01:46:47.420]   I'm going to read the first part of the book.
[01:46:47.440 --> 01:46:49.460]   I'm going to read the first part of the book.
[01:46:49.460 --> 01:46:50.460]   I'm going to read the first part of the book.
[01:46:50.460 --> 01:46:51.460]   I'm going to read the first part of the book.
[01:46:51.460 --> 01:46:52.460]   I'm going to read the first part of the book.
[01:46:52.460 --> 01:46:53.460]   I'm going to read the first part of the book.
[01:46:53.460 --> 01:46:54.460]   I'm going to read the first part of the book.
[01:46:54.460 --> 01:46:55.460]   I'm going to read the first part of the book.
[01:46:55.460 --> 01:46:56.460]   I'm going to read the first part of the book.
[01:46:56.460 --> 01:46:57.460]   I'm going to read the first part of the book.
[01:46:57.460 --> 01:46:58.460]   I'm going to read the first part of the book.
[01:46:58.460 --> 01:46:59.460]   I'm going to read the first part of the book.
[01:46:59.460 --> 01:47:00.460]   I'm going to read the first part of the book.
[01:47:00.460 --> 01:47:01.460]   I'm going to read the first part of the book.
[01:47:01.460 --> 01:47:02.460]   I'm going to read the first part of the book.
[01:47:02.460 --> 01:47:03.460]   I'm going to read the first part of the book.
[01:47:03.480 --> 01:47:20.500]   I'm going to read the first part of the book.
[01:47:20.500 --> 01:47:21.500]   I'm going to read the first part of the book.
[01:47:21.500 --> 01:47:22.500]   I'm going to read the first part of the book.
[01:47:22.500 --> 01:47:23.500]   I'm going to read the first part of the book.
[01:47:23.500 --> 01:47:24.500]   I'm going to read the first part of the book.
[01:47:24.500 --> 01:47:25.500]   I'm going to read the first part of the book.
[01:47:25.500 --> 01:47:26.500]   I'm going to read the first part of the book.
[01:47:26.500 --> 01:47:27.500]   I'm going to read the first part of the book.
[01:47:27.500 --> 01:47:28.500]   I'm going to read the first part of the book.
[01:47:28.500 --> 01:47:29.500]   I'm going to read the first part of the book.
[01:47:29.500 --> 01:47:30.500]   I'm going to read the first part of the book.
[01:47:30.500 --> 01:47:31.500]   I'm going to read the first part of the book.
[01:47:31.500 --> 01:47:32.500]   I'm going to read the first part of the book.
[01:47:32.500 --> 01:47:33.500]   I'm going to read the first part of the book.
[01:47:33.500 --> 01:47:33.500]   book.
[01:47:33.500 --> 01:47:33.500]   I'm going to read the first part of the book.
[01:47:33.540 --> 01:47:41.540]   I'm going to read the first part of the book.
[01:47:41.540 --> 01:47:42.540]   I'm going to read the first part of the book.

