
[00:00:00.000 --> 00:00:00.540]   Let's try.
[00:51:08.260 --> 00:51:10.260]   There's no other group to put her in.
[00:51:10.260 --> 00:51:11.260]   There's no other group to put her in.
[00:51:11.260 --> 00:51:12.260]   there's no other group to put her in.
[00:51:12.260 --> 00:51:13.260]   There's no other group to put her in.
[00:51:13.260 --> 00:51:14.260]   There's no other group to put her in.
[00:51:14.260 --> 00:51:15.260]   There's no other group to put her in.
[00:51:15.260 --> 00:51:16.260]   There's no other group to put her in.
[00:51:16.260 --> 00:51:17.260]   There's no other group to put her in.
[00:51:17.260 --> 00:51:18.260]   There's no other group to put her in.
[00:51:18.260 --> 00:51:19.260]   There's no other group to put her in.
[00:51:19.260 --> 00:51:20.260]   There's no other group to put her in.
[00:51:20.260 --> 00:51:21.260]   There's no other group to put her in.
[00:51:21.260 --> 00:51:22.260]   There's no other group to put her in.
[00:51:22.260 --> 00:51:23.260]   There's no other group to put her in.
[00:51:23.260 --> 00:51:24.260]   There's no other group to put her in.
[00:51:24.260 --> 00:51:25.260]   There's no other group to put her in.
[00:51:25.260 --> 00:51:26.260]   There's no other group to put her in.
[00:51:26.260 --> 00:51:27.260]   There's no other group to put her in.
[00:51:27.260 --> 00:51:30.260]   There's no other group to put her in.
[00:51:30.260 --> 00:51:31.260]   There's no other group to put her in.
[00:51:31.260 --> 00:51:35.260]   There's no other group to put her in.
[00:51:35.260 --> 00:51:36.260]   There's no other group to put her in.
[00:51:36.260 --> 00:51:37.260]   There's no other group to put her in.
[00:51:37.260 --> 00:51:38.260]   There's no other group to put her in.
[00:51:38.260 --> 00:51:39.260]   There's no other group to put her in.
[00:51:39.260 --> 00:51:40.260]   There's no other group to put her in.
[00:51:40.260 --> 00:51:41.260]   There's no other group to put her in.
[00:51:41.260 --> 00:51:42.260]   There's no other group to put her in.
[00:51:42.260 --> 00:51:43.260]   There's no other group to put her in.
[00:51:43.260 --> 00:51:44.260]   There's no other group to put her in.
[00:51:44.260 --> 00:51:45.260]   There's no other group to put her in.
[00:51:45.260 --> 00:51:46.260]   There's no other group to put her in.
[00:51:46.260 --> 00:51:47.260]   There's no other group to put her in.
[00:51:47.260 --> 00:51:48.260]   There's no other group to put her in.
[00:51:48.260 --> 00:51:49.260]   There's no other group to put her in.
[00:51:49.260 --> 00:51:50.260]   There's no other group to put her in.
[00:51:50.260 --> 00:51:51.260]   There's no other group to put her in.
[00:51:51.260 --> 00:51:52.260]   There's no other group to put her in.
[00:51:52.260 --> 00:51:53.260]   There's no other group to put her in.
[00:51:53.260 --> 00:51:54.260]   There's no other group to put her in.
[00:51:54.260 --> 00:51:55.260]   There's no other group to put her in.
[00:51:55.260 --> 00:51:56.260]   There's no other group to put her in.
[00:51:56.260 --> 00:51:57.260]   There's no other group to put her in.
[00:51:57.260 --> 00:51:58.260]   There's no other group to put her in.
[00:51:58.260 --> 00:51:59.260]   There's no other group to put her in.
[00:51:59.260 --> 00:52:00.260]   There's no other group to put her in.
[00:52:00.260 --> 00:52:01.260]   There's no other group to put her in.
[00:52:01.260 --> 00:52:02.260]   There's no other group to put her in.
[00:52:02.260 --> 00:52:03.260]   There's no other group to put her in.
[00:52:03.260 --> 00:52:04.260]   There's no other group to put her in.
[00:52:04.260 --> 00:52:05.260]   There's no other group to put her in.
[00:52:05.260 --> 00:52:06.260]   There's no other group to put her in.
[00:52:06.260 --> 00:52:07.260]   There's no other group to put her in.
[00:52:07.260 --> 00:52:08.260]   There's no other group to put her in.
[00:52:08.260 --> 00:52:10.260]   There's no other group to put her in.
[00:52:10.260 --> 00:52:11.260]   There's no other group to put her in.
[00:52:11.260 --> 00:52:15.260]   There's no other group to put her in.
[00:52:15.260 --> 00:52:16.260]   There's no other group to put her in.
[00:52:16.260 --> 00:52:17.260]   There's no other group to put her in.
[00:52:17.260 --> 00:52:18.260]   There's no other group to put her in.
[00:52:18.260 --> 00:52:19.260]   There's no other group to put her in.
[00:52:19.260 --> 00:52:20.260]   There's no other group to put her in.
[00:52:20.260 --> 00:52:21.260]   There's no other group to put her in.
[00:52:21.260 --> 00:52:22.260]   There's no other group to put her in.
[00:52:22.260 --> 00:52:23.260]   There's no other group to put her in.
[00:52:23.260 --> 00:52:24.260]   There's no other group to put her in.
[00:52:24.260 --> 00:52:25.260]   There's no other group to put her in.
[00:52:25.260 --> 00:52:26.260]   There's no other group to put her in.
[00:52:26.260 --> 00:52:27.260]   There's no other group to put her in.
[00:52:27.260 --> 00:52:28.260]   There's no other group to put her in.
[00:52:28.260 --> 00:52:29.260]   There's no other group to put her in.
[00:52:29.260 --> 00:52:30.260]   There's no other group to put her in.
[00:52:30.260 --> 00:52:31.260]   There's no other group to put her in.
[00:52:31.260 --> 00:52:32.260]   There's no other group to put her in.
[00:52:32.260 --> 00:52:33.260]   There's no other group to put her in.
[00:52:33.260 --> 00:52:34.260]   There's no other group to put her in.
[00:52:34.260 --> 00:52:35.260]   There's no other group to put her in.
[00:52:35.260 --> 00:52:36.260]   There's no other group to put her in.
[00:52:36.260 --> 00:52:37.260]   There's no other group to put her in.
[00:52:37.260 --> 00:52:38.260]   There's no other group to put her in.
[00:52:38.260 --> 00:52:39.260]   There's no other group to put her in.
[00:52:39.260 --> 00:52:40.260]   There's no other group to put her in.
[00:52:40.260 --> 00:52:41.260]   There's no other group to put her in.
[00:52:41.260 --> 00:52:42.260]   There's no other group to put her in.
[00:52:42.260 --> 00:52:43.260]   There's no other group to put her in.
[00:52:43.260 --> 00:52:44.260]   There's no other group to put her in.
[00:52:44.260 --> 00:52:45.260]   There's no other group to put her in.
[00:52:45.260 --> 00:52:46.260]   There's no other group to put her in.
[00:52:46.260 --> 00:52:47.260]   There's no other group to put her in.
[00:52:47.260 --> 00:52:48.260]   There's no other group to put her in.
[00:52:48.260 --> 00:52:49.260]   There's no other group to put her in.
[00:52:49.260 --> 00:52:50.260]   There's no other group to put her in.
[00:52:50.260 --> 00:52:53.260]   There's no other group to put her in.
[00:52:53.260 --> 00:52:54.260]   There's no other group to put her in.
[00:52:54.260 --> 00:52:55.260]   There's no other group to put her in.
[00:52:55.260 --> 00:52:56.260]   There's no other group to put her in.
[00:52:56.260 --> 00:52:57.260]   There's no other group to put her in.
[00:52:57.260 --> 00:52:58.260]   There's no other group to put her in.
[00:52:58.260 --> 00:52:59.260]   There's no other group to put her in.
[00:52:59.260 --> 00:53:00.260]   There's no other group to put her in.
[00:53:00.260 --> 00:53:01.260]   There's no other group to put her in.
[00:53:01.260 --> 00:53:02.260]   There's no other group to put her in.
[00:53:02.260 --> 00:53:03.260]   There's no other group to put her in.
[00:53:03.260 --> 00:53:04.260]   There's no other group to put her in.
[00:53:04.260 --> 00:53:05.260]   There's no other group to put her in.
[00:53:05.260 --> 00:53:06.260]   There's no other group to put her in.
[00:53:06.260 --> 00:53:07.260]   There's no other group to put her in.
[00:53:07.260 --> 00:53:08.260]   There's no other group to put her in.
[00:53:08.260 --> 00:53:09.260]   There's no other group to put her in.
[00:53:09.260 --> 00:53:10.260]   There's no other group to put her in.
[00:53:10.260 --> 00:53:11.260]   There's no other group to put her in.
[00:53:11.260 --> 00:53:12.260]   There's no other group to put her in.
[00:53:12.260 --> 00:53:13.260]   There's no other group to put her in.
[00:53:13.260 --> 00:53:14.260]   There's no other group to put her in.
[00:53:14.260 --> 00:53:15.260]   There's no other group to put her in.
[00:53:15.260 --> 00:53:16.260]   There's no other group to put her in.
[00:53:16.260 --> 00:53:17.260]   There's no other group to put her in.
[00:53:17.260 --> 00:53:18.260]   There's no other group to put her in.
[00:53:18.260 --> 00:53:19.260]   There's no other group to put her in.
[00:53:19.260 --> 00:53:20.260]   There's no other group to put her in.
[00:53:20.260 --> 00:53:21.260]   There's no other group to put her in.
[00:53:21.260 --> 00:53:22.260]   There's no other group to put her in.
[00:53:22.260 --> 00:53:23.260]   There's no other group to put her in.
[00:53:23.260 --> 00:53:24.260]   There's no other group to put her in.
[00:53:24.260 --> 00:53:25.260]   There's no other group to put her in.
[00:53:25.260 --> 00:53:26.260]   There's no other group to put her in.
[00:53:26.260 --> 00:53:27.260]   There's no other group to put her in.
[00:53:27.260 --> 00:53:28.260]   There's no other group to put her in.
[00:53:28.260 --> 00:53:29.260]   There's no other group to put her in.
[00:53:29.260 --> 00:53:30.260]   There's no other group to put her in.
[00:53:30.260 --> 00:53:31.260]   There's no other group to put her in.
[00:53:31.260 --> 00:53:32.260]   There's no other group to put her in.
[00:53:32.260 --> 00:53:33.260]   There's no other group to put her in.
[00:53:33.260 --> 00:53:34.260]   There's no other group to put her in.
[00:53:34.260 --> 00:53:35.260]   There's no other group to put her in.
[00:53:35.260 --> 00:53:36.260]   There's no other group to put her in.
[00:53:36.260 --> 00:53:37.260]   There's no other group to put her in.
[00:53:37.260 --> 00:53:38.260]   There's no other group to put her in.
[00:53:38.260 --> 00:53:39.260]   There's no other group to put her in.
[00:53:39.260 --> 00:53:40.260]   There's no other group to put her in.
[00:53:40.260 --> 00:53:41.260]   There's no other group to put her in.
[00:53:41.260 --> 00:53:42.260]   There's no other group to put her in.
[00:53:42.260 --> 00:53:43.260]   There's no other group to put her in.
[00:53:43.260 --> 00:53:44.260]   There's no other group to put her in.
[00:53:44.260 --> 00:53:45.260]   There's no other group to put her in.
[00:53:45.260 --> 00:53:46.260]   There's no other group to put her in.
[00:53:46.260 --> 00:53:47.260]   There's no other group to put her in.
[00:53:47.260 --> 00:53:48.260]   There's no other group to put her in.
[00:53:48.260 --> 00:53:49.260]   There's no other group to put her in.
[00:53:49.260 --> 00:53:50.260]   There's no other group to put her in.
[00:53:50.260 --> 00:53:51.260]   There's no other group to put her in.
[00:53:51.260 --> 00:53:52.260]   There's no other group to put her in.
[00:53:52.260 --> 00:53:53.260]   There's no other group to put her in.
[00:53:53.260 --> 00:53:54.260]   There's no other group to put her in.
[00:53:54.260 --> 00:53:55.260]   There's no other group to put her in.
[00:53:55.260 --> 00:53:56.260]   There's no other group to put her in.
[00:53:56.260 --> 00:53:57.260]   There's no other group to put her in.
[00:53:57.260 --> 00:53:58.260]   There's no other group to put her in.
[00:53:58.260 --> 00:53:59.260]   There's no other group to put her in.
[00:53:59.260 --> 00:54:00.260]   There's no other group to put her in.
[00:54:00.260 --> 00:54:01.260]   There's no other group to put her in.
[00:54:01.260 --> 00:54:02.260]   There's no other group to put her in.
[00:54:02.260 --> 00:54:03.260]   There's no other group to put her in.
[00:54:03.260 --> 00:54:04.260]   There's no other group to put her in.
[00:54:04.260 --> 00:54:05.260]   There's no other group to put her in.
[00:54:05.260 --> 00:54:06.260]   There's no other group to put her in.
[00:54:06.260 --> 00:54:07.260]   There's no other group to put her in.
[00:54:07.260 --> 00:54:08.260]   There's no other group to put her in.
[00:54:08.260 --> 00:54:09.260]   There's no other group to put her in.
[00:54:09.260 --> 00:54:10.260]   There's no other group to put her in.
[00:54:10.260 --> 00:54:11.260]   There's no other group to put her in.
[00:54:11.260 --> 00:54:12.260]   There's no other group to put her in.
[00:54:12.260 --> 00:54:13.260]   There's no other group to put her in.
[00:54:13.260 --> 00:54:14.260]   There's no other group to put her in.
[00:54:14.260 --> 00:54:15.260]   There's no other group to put her in.
[00:54:15.260 --> 00:54:16.260]   There's no other group to put her in.
[00:54:16.260 --> 00:54:17.260]   There's no other group to put her in.
[00:54:17.260 --> 00:54:18.260]   There's no other group to put her in.
[00:54:18.260 --> 00:54:19.260]   There's no other group to put her in.
[00:54:19.260 --> 00:54:20.260]   There's no other group to put her in.
[00:54:20.260 --> 00:54:21.260]   There's no other group to put her in.
[00:54:21.260 --> 00:54:22.260]   There's no other group to put her in.
[00:54:22.260 --> 00:54:24.260]   There's no other group to put her in.
[00:54:24.260 --> 00:54:25.260]   There's no other group to put her in.
[00:54:25.260 --> 00:54:26.260]   There's no other group to put her in.
[00:54:26.260 --> 00:54:27.260]   There's no other group to put her in.
[00:54:27.260 --> 00:54:28.260]   There's no other group to put her in.
[00:54:28.260 --> 00:54:29.260]   There's no other group to put her in.
[00:54:29.260 --> 00:54:30.260]   There's no other group to put her in.
[00:54:30.260 --> 00:54:31.260]   There's no other group to put her in.
[00:54:31.260 --> 00:54:32.260]   There's no other group to put her in.
[00:54:32.260 --> 00:54:33.260]   There's no other group to put her in.
[00:54:33.260 --> 00:54:34.260]   There's no other group to put her in.
[00:54:34.260 --> 00:54:35.260]   There's no other group to put her in.
[00:54:35.260 --> 00:54:36.260]   There's no other group to put her in.
[00:54:36.260 --> 00:54:37.260]   There's no other group to put her in.
[00:54:37.260 --> 00:54:38.260]   There's no other group to put her in.
[00:54:38.260 --> 00:54:39.260]   There's no other group to put her in.
[00:54:39.260 --> 00:54:40.260]   There's no other group to put her in.
[00:54:40.260 --> 00:54:41.260]   There's no other group to put her in.
[00:54:41.260 --> 00:54:42.260]   there's no other group to put her in.
[00:54:42.260 --> 00:54:43.260]   There's no other group to put her in.
[00:54:43.260 --> 00:54:44.260]   There's no other group to put her in.
[00:54:44.260 --> 00:54:45.260]   There's no other group to put her in.
[00:54:45.260 --> 00:54:46.260]   There's no other group to put her in.
[00:54:46.260 --> 00:54:47.260]   There's no other group to put her in.
[00:54:47.260 --> 00:54:48.260]   There's no other group to put her in.
[00:54:48.260 --> 00:54:49.260]   There's no other group to put her in.
[00:54:49.260 --> 00:54:50.260]   There's no other group to put her in.
[00:54:50.260 --> 00:54:51.260]   There's no other group to put her in.
[00:54:51.260 --> 00:54:52.260]   There's no other group to put her in.
[00:54:52.260 --> 00:54:53.260]   There's no other group to put her in.
[00:54:53.260 --> 00:54:54.260]   There's no other group to put her in.
[00:54:54.260 --> 00:54:55.260]   There's no other group to put her in.
[00:54:55.260 --> 00:54:56.260]   There's no other group to put her in.
[00:54:56.260 --> 00:54:57.260]   There's no other group to put her in.
[00:54:57.260 --> 00:54:58.260]   There's no other group to put her in.
[00:54:58.260 --> 00:54:59.260]   There's no other group to put her in.
[00:54:59.260 --> 00:55:00.260]   There's no other group to put her in.
[00:55:00.260 --> 00:55:01.260]   There's no other group to put her in.
[00:55:01.260 --> 00:55:02.260]   There's no other group to put her in.
[00:55:02.260 --> 00:55:03.260]   There's no other group to put her in.
[00:55:03.260 --> 00:55:04.260]   There's no other group to put her in.
[00:55:04.260 --> 00:55:05.260]   There's no other group to put her in.
[00:55:05.260 --> 00:55:06.260]   There's no other group to put her in.
[00:55:06.260 --> 00:55:07.260]   There's no other group to put her in.
[00:55:07.260 --> 00:55:08.260]   There's no other group to put her in.
[00:55:08.260 --> 00:55:09.260]   There's no other group to put her in.
[00:55:09.260 --> 00:55:10.260]   There's no other group to put her in.
[00:55:10.260 --> 00:55:11.260]   There's no other group to put her in.
[00:55:11.260 --> 00:55:12.260]   There's no other group to put her in.
[00:55:12.260 --> 00:55:13.260]   There's no other group to put her in.
[00:55:13.260 --> 00:55:14.260]   There's no other group to put her in.
[00:55:14.260 --> 00:55:15.260]   There's no other group to put her in.
[00:55:15.260 --> 00:55:16.260]   There's no other group to put her in.
[00:55:16.260 --> 00:55:18.260]   There's no other group to put her in.
[00:55:18.260 --> 00:55:21.260]   There's no other group to put her in.
[00:55:21.260 --> 00:55:22.260]   There's no other group to put her in.
[00:55:22.260 --> 00:55:23.260]   There's no other group to put her in.
[00:55:23.260 --> 00:55:24.260]   There's no other group to put her in.
[00:55:24.260 --> 00:55:25.260]   There's no other group to put her in.
[00:55:25.260 --> 00:55:26.260]   There's no other group to put her in.
[00:55:26.260 --> 00:55:27.260]   There's no other group to put her in.
[00:55:27.260 --> 00:55:28.260]   There's no other group to put her in.
[00:55:28.260 --> 00:55:29.260]   There's no other group to put her in.
[00:55:29.260 --> 00:55:30.260]   There's no other group to put her in.
[00:55:30.260 --> 00:55:31.260]   There's no other group to put her in.
[00:55:31.260 --> 00:55:32.260]   There's no other group to put her in.
[00:55:32.260 --> 00:55:33.260]   There's no other group to put her in.
[00:55:33.260 --> 00:55:34.260]   There's no other group to put her in.
[00:55:34.260 --> 00:55:35.260]   There's no other group to put her in.
[00:55:35.260 --> 00:55:36.260]   There's no other group to put her in.
[00:55:36.260 --> 00:55:37.260]   There's no other group to put her in.
[00:55:37.260 --> 00:55:38.260]   There's no other group to put her in.
[00:55:38.260 --> 00:55:40.260]   There's no other group to put her in.
[00:55:40.260 --> 00:55:41.260]   There's no other group to put her in.
[00:55:41.260 --> 00:55:42.260]   There's no other group to put her in.
[00:55:42.260 --> 00:55:43.260]   There's no other group to put her in.
[00:55:43.260 --> 00:55:44.260]   There's no other group to put her in.
[00:55:44.260 --> 00:55:45.260]   There's no other group to put her in.
[00:55:45.260 --> 00:55:46.260]   There's no other group to put her in.
[00:55:46.260 --> 00:55:47.260]   There's no other group to put her in.
[00:55:47.260 --> 00:55:48.260]   There's no other group to put her in.
[00:55:48.260 --> 00:55:49.260]   There's no other group to put her in.
[00:55:49.260 --> 00:55:50.260]   There's no other group to put her in.
[00:55:50.260 --> 00:55:51.260]   There's no other group to put her in.
[00:55:51.260 --> 00:55:52.260]   There's no other group to put her in.
[00:55:52.260 --> 00:55:53.260]   There's no other group to put her in.
[00:55:53.260 --> 00:55:54.260]   There's no other group to put her in.
[00:55:54.260 --> 00:55:55.260]   There's no other group to put her in.
[00:55:55.260 --> 00:55:57.260]   There's no other group to put her in.
[00:55:57.260 --> 00:55:58.260]   There's no other group to put her in.
[00:55:58.260 --> 00:55:59.260]   There's no other group to put her in.
[00:55:59.260 --> 00:56:00.260]   There's no other group to put her in.
[00:56:00.260 --> 00:56:01.260]   There's no other group to put her in.
[00:56:01.260 --> 00:56:02.260]   There's no other group to put her in.
[00:56:02.260 --> 00:56:03.260]   There's no other group to put her in.
[00:56:03.260 --> 00:56:04.260]   There's no other group to put her in.
[00:56:04.260 --> 00:56:05.260]   There's no other group to put her in.
[00:56:05.260 --> 00:56:06.260]   There's no other group to put her in.
[00:56:06.260 --> 00:56:07.260]   There's no other group to put her in.
[00:56:07.260 --> 00:56:08.260]   There's no other group to put her in.
[00:56:08.260 --> 00:56:09.260]   There's no other group to put her in.
[00:56:09.260 --> 00:56:10.260]   There's no other group to put her in.
[00:56:10.260 --> 00:56:11.260]   There's no other group to put her in.
[00:56:11.260 --> 00:56:12.260]   There's no other group to put her in.
[00:56:12.260 --> 00:56:13.260]   There's no other group to put her in.
[00:56:13.260 --> 00:56:14.260]   There's no other group to put her in.
[00:56:14.260 --> 00:56:15.260]   There's no other group to put her in.
[00:56:15.260 --> 00:56:16.260]   There's no other group to put her in.
[00:56:16.260 --> 00:56:17.260]   There's no other group to put her in.
[00:56:17.260 --> 00:56:18.260]   There's no other group to put her in.
[00:56:18.260 --> 00:56:19.260]   There's no other group to put her in.
[00:56:19.260 --> 00:56:20.260]   There's no other group to put her in.
[00:56:20.260 --> 00:56:21.260]   There's no other group to put her in.
[00:56:21.260 --> 00:56:22.260]   There's no other group to put her in.
[00:56:22.260 --> 00:56:23.260]   There's no other group to put her in.
[00:56:23.260 --> 00:56:24.260]   There's no other group to put her in.
[00:56:24.260 --> 00:56:25.260]   There's no other group to put her in.
[00:56:25.260 --> 00:56:26.260]   There's no other group to put her in.
[00:56:26.260 --> 00:56:27.260]   There's no other group to put her in.
[00:56:27.260 --> 00:56:28.260]   There's no other group to put her in.
[00:56:28.260 --> 00:56:29.260]   There's no other group to put her in.
[00:56:29.260 --> 00:56:30.260]   There's no other group to put her in.
[00:56:30.260 --> 00:56:31.260]   There's no other group to put her in.
[00:56:31.260 --> 00:56:32.260]   There's no other group to put her in.
[00:56:32.260 --> 00:56:33.260]   There's no other group to put her in.
[00:56:33.260 --> 00:56:34.260]   There's no other group to put her in.
[00:56:34.260 --> 00:56:35.260]   There's no other group to put her in.
[00:56:35.260 --> 00:56:36.260]   There's no other group to put her in.
[00:56:36.260 --> 00:56:37.260]   There's no other group to put her in.
[00:56:37.260 --> 00:56:38.260]   There's no other group to put her in.
[00:56:38.260 --> 00:56:39.260]   There's no other group to put her in.
[00:56:39.260 --> 00:56:40.260]   There's no other group to put her in.
[00:56:40.260 --> 00:56:41.260]   There's no other group to put her in.
[00:56:41.260 --> 00:56:42.260]   There's no other group to put her in.
[00:56:42.260 --> 00:56:43.260]   There's no other group to put her in.
[00:56:43.260 --> 00:56:44.260]   There's no other group to put her in.
[00:56:44.260 --> 00:56:45.260]   There's no other group to put her in.
[00:56:45.260 --> 00:56:46.260]   There's no other group to put her in.
[00:56:46.260 --> 00:56:47.260]   There's no other group to put her in.
[00:56:47.260 --> 00:56:48.260]   There's no other group to put her in.
[00:56:48.260 --> 00:56:49.260]   There's no other group to put her in.
[00:56:49.260 --> 00:56:50.260]   There's no other group to put her in.
[00:56:50.260 --> 00:56:51.260]   There's no other group to put her in.
[00:56:51.260 --> 00:56:52.260]   There's no other group to put her in.
[00:56:52.260 --> 00:56:53.260]   There's no other group to put her in.
[00:56:53.260 --> 00:56:54.260]   There's no other group to put her in.
[00:56:54.260 --> 00:56:55.260]   There's no other group to put her in.
[00:56:55.260 --> 00:56:56.260]   There's no other group to put her in.
[00:56:56.260 --> 00:56:57.260]   There's no other group to put her in.
[00:56:57.260 --> 00:56:58.260]   There's no other group to put her in.
[00:56:58.260 --> 00:56:59.260]   There's no other group to put her in.
[00:56:59.260 --> 00:57:00.260]   There's no other group to put her in.
[00:57:00.260 --> 00:57:01.260]   There's no other group to put her in.
[00:57:01.260 --> 00:57:02.260]   There's no other group to put her in.
[00:57:02.260 --> 00:57:03.260]   There's no other group to put her in.
[00:57:03.260 --> 00:57:04.260]   There's no other group to put her in.
[00:57:04.260 --> 00:57:05.260]   There's no other group to put her in.
[00:57:05.260 --> 00:57:06.260]   There's no other group to put her in.
[00:57:06.260 --> 00:57:07.260]   There's no other group to put her in.
[00:57:07.260 --> 00:57:08.260]   There's no other group to put her in.
[00:57:08.260 --> 00:57:09.260]   There's no other group to put her in.
[00:57:09.260 --> 00:57:10.260]   There's no other group to put her in.
[00:57:10.260 --> 00:57:24.260]   There's no other group to put her in.
[00:57:24.260 --> 00:57:27.260]   There's no other group to put her in.
[00:57:27.260 --> 00:57:29.260]   There's no other group to put her in.
[00:57:29.260 --> 00:57:31.260]   There's no other group to put her in.
[00:57:31.260 --> 00:57:34.260]   There's no other group to put her in.
[00:57:34.260 --> 00:57:36.260]   There's no other group to put her in.
[00:57:36.260 --> 00:57:38.260]   There's no other group to put her in.
[00:57:38.260 --> 00:57:41.260]   There's no other group to put her in.
[00:57:41.260 --> 00:57:42.260]   There's no other group to put her in.
[00:57:42.260 --> 00:57:43.260]   There's no other group to put her in.
[00:57:43.260 --> 00:57:44.260]   There's no other group to put her in.
[00:57:44.260 --> 00:57:45.260]   There's no other group to put her in.
[00:57:45.260 --> 00:57:46.260]   There's no other group to put her in.
[00:57:46.260 --> 00:57:47.260]   There's no other group to put her in.
[00:57:47.260 --> 00:57:48.260]   There's no other group to put her in.
[00:57:48.260 --> 00:57:49.260]   There's no other group to put her in.
[00:57:49.260 --> 00:57:50.260]   There's no other group to put her in.
[00:57:50.260 --> 00:57:51.260]   There's no other group to put her in.
[00:57:51.260 --> 00:57:52.260]   There's no other group to put her in.
[00:57:52.260 --> 00:57:53.260]   There's no other group to put her in.
[00:57:53.260 --> 00:57:54.260]   There's no other group to put her in.
[00:57:54.260 --> 00:57:55.260]   There's no other group to put her in.
[00:57:55.260 --> 00:57:56.260]   There's no other group to put her in.
[00:57:56.260 --> 00:57:57.260]   There's no other group to put her in.
[00:57:57.260 --> 00:57:58.260]   There's no other group to put her in.
[00:57:58.260 --> 00:57:59.260]   There's no other group to put her in.
[00:57:59.260 --> 00:58:00.260]   There's no other group to put her in.
[00:58:00.260 --> 00:58:01.260]   There's no other group to put her in.
[00:58:01.260 --> 00:58:02.260]   There's no other group to put her in.
[00:58:02.260 --> 00:58:03.260]   There's no other group to put her in.
[00:58:03.260 --> 00:58:04.260]   There's no other group to put her in.
[00:58:04.260 --> 00:58:05.260]   There's no other group to put her in.
[00:58:05.260 --> 00:58:06.260]   There's no other group to put her in.
[00:58:06.260 --> 00:58:07.260]   There's no other group to put her in.
[00:58:07.260 --> 00:58:08.260]   There's no other group to put her in.
[00:58:08.260 --> 00:58:09.260]   There's no other group to put her in.
[00:58:09.260 --> 00:58:10.260]   There's no other group to put her in.
[00:58:10.260 --> 00:58:11.260]   There's no other group to put her in.
[00:58:11.260 --> 00:58:12.260]   There's no other group to put her in.
[00:58:12.260 --> 00:58:13.260]   There's no other group to put her in.
[00:58:13.260 --> 00:58:14.260]   There's no other group to put her in.
[00:58:14.260 --> 00:58:15.260]   There's no other group to put her in.
[00:58:15.260 --> 00:58:16.260]   There's no other group to put her in.
[00:58:16.260 --> 00:58:17.260]   There's no other group to put her in.
[00:58:17.260 --> 00:58:18.260]   There's no other group to put her in.
[00:58:18.260 --> 00:58:19.260]   There's no other group to put her in.
[00:58:19.260 --> 00:58:20.260]   There's no other group to put her in.
[00:58:20.260 --> 00:58:21.260]   There's no other group to put her in.
[00:58:21.260 --> 00:58:22.260]   There's no other group to put her in.
[00:58:22.260 --> 00:58:23.260]   There's no other group to put her in.
[00:58:23.260 --> 00:58:24.260]   There's no other group to put her in.
[00:58:24.260 --> 00:58:25.260]   There's no other group to put her in.
[00:58:25.260 --> 00:58:26.260]   There's no other group to put her in.
[00:58:26.260 --> 00:58:27.260]   There's no other group to put her in.
[00:58:27.260 --> 00:58:28.260]   There's no other group to put her in.
[00:58:28.260 --> 00:58:29.260]   There's no other group to put her in.
[00:58:29.260 --> 00:58:30.260]   There's no other group to put her in.
[00:58:30.260 --> 00:58:31.260]   There's no other group to put her in.
[00:58:31.260 --> 00:58:32.260]   There's no other group to put her in.
[00:58:32.260 --> 00:58:33.260]   There's no other group to put her in.
[00:58:33.260 --> 00:58:34.260]   There's no other group to put her in.
[00:58:34.260 --> 00:58:35.260]   There's no other group to put her in.
[00:58:35.260 --> 00:58:36.260]   There's no other group to put her in.
[00:58:36.260 --> 00:58:37.260]   There's no other group to put her in.
[00:58:37.260 --> 00:58:38.260]   There's no other group to put her in.
[00:58:38.260 --> 00:58:40.260]   There's no other group to put her in.
[00:58:40.260 --> 00:58:41.260]   There's no other group to put her in.
[00:58:41.260 --> 00:58:42.260]   There's no other group to put her in.
[00:58:42.260 --> 00:58:43.260]   There's no other group to put her in.
[00:58:43.260 --> 00:58:44.260]   There's no other group to put her in.
[00:58:44.260 --> 00:58:45.260]   There's no other group to put her in.
[00:58:45.260 --> 00:58:46.260]   There's no other group to put her in.
[00:58:46.260 --> 00:58:47.260]   There's no other group to put her in.
[00:58:47.260 --> 00:58:48.260]   There's no other group to put her in.
[00:58:48.260 --> 00:58:49.260]   There's no other group to put her in.
[00:58:49.260 --> 00:58:50.260]   There's no other group to put her in.
[00:58:50.260 --> 00:58:51.260]   There's no other group to put her in.
[00:58:51.260 --> 00:58:52.260]   There's no other group to put her in.
[00:58:52.260 --> 00:58:53.260]   There's no other group to put her in.
[00:58:53.260 --> 00:58:54.260]   There's no other group to put her in.
[00:58:54.260 --> 00:58:55.260]   There's no other group to put her in.
[00:58:55.260 --> 00:58:56.260]   There's no other group to put her in.
[00:58:56.260 --> 00:58:57.260]   There's no other group to put her in.
[00:58:57.260 --> 00:58:59.260]   There's no other group to put her in.
[00:58:59.260 --> 00:59:00.260]   There's no other group to put her in.
[00:59:00.260 --> 00:59:01.260]   There's no other group to put her in.
[00:59:01.260 --> 00:59:02.260]   There's no other group to put her in.
[00:59:02.260 --> 00:59:03.260]   There's no other group to put her in.
[00:59:03.260 --> 00:59:04.260]   There's no other group to put her in.
[00:59:04.260 --> 00:59:05.260]   There's no other group to put her in.
[00:59:05.260 --> 00:59:06.260]   There's no other group to put her in.
[00:59:06.260 --> 00:59:07.260]   There's no other group to put her in.
