
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:47:05.840 --> 00:47:10.840]   But in ancient times, if you don't have water, if you don't have access to water, you can't live.
[00:47:10.840 --> 00:47:15.840]   So you either have to dig a well, or if you look at history,
[00:47:15.840 --> 00:47:23.840]   all the ancient civilizations were created right around a body of water because they need that to survive.
[00:47:23.840 --> 00:47:32.840]   So Jesus is using that imagery to say that these unclean spirits left,
[00:47:32.840 --> 00:47:36.840]   but they couldn't make a home because they're in a waterless places.
[00:47:36.840 --> 00:47:41.840]   And so they decided to come back to their own house.
[00:47:41.840 --> 00:47:45.840]   That's interesting that it's described as their own home.
[00:47:45.840 --> 00:47:51.840]   What is a home? I mean, what's home to me is not home to you, right?
[00:47:51.840 --> 00:47:55.840]   You're not going to feel comfortable if you come to my house and take off your socks and then you just lay back.
[00:47:55.840 --> 00:47:58.840]   You know what I mean? What are you doing? You're my guest.
[00:47:58.840 --> 00:48:01.840]   If I came and did that to your house, you know what I mean?
[00:48:01.840 --> 00:48:04.840]   I start going through your closet and opening up and eating whatever I want,
[00:48:04.840 --> 00:48:08.840]   and then I just lie on your bed. What are you doing? What's wrong with you?
[00:48:08.840 --> 00:48:11.840]   That's your home, but that's not my home.
[00:48:11.840 --> 00:48:18.840]   What makes it your home is because you purchased it, you own it, and you made it comfortable.
[00:48:18.840 --> 00:48:24.840]   The bed's the way that you want. The kitchen, the refrigerator is filled with things that you desire.
[00:48:24.840 --> 00:48:28.840]   So however the layout is, that's where you feel comfortable.
[00:48:28.840 --> 00:48:31.840]   So even if you're traveling and you're living in a nice hotel,
[00:48:31.840 --> 00:48:35.840]   at some point you want to go home, because that's not your home.
[00:48:35.840 --> 00:48:39.840]   So a home is a place where you find rest.
[00:48:39.840 --> 00:48:46.840]   Don't you think it's interesting that the demons describe the previous place that they left as their home,
[00:48:46.840 --> 00:48:49.840]   and they couldn't find a home, so they went back to their home.
[00:48:49.840 --> 00:48:56.840]   So home is a place where they've made it comfortable.
[00:48:56.840 --> 00:49:00.840]   Where the individual who may have cleaned the house has certain habits,
[00:49:00.840 --> 00:49:06.840]   there's certain things that he's allowing in his life that makes it easy for the devil to come.
[00:49:06.840 --> 00:49:10.840]   The devil doesn't want to come there where there's a resistance toward him.
[00:49:10.840 --> 00:49:13.840]   There's a fight against him.
[00:49:13.840 --> 00:49:16.840]   He wants to go somewhere where he can feel comfortable, where he's used to.
[00:49:16.840 --> 00:49:20.840]   There are certain things that you're doing, certain patterns that you've accepted,
[00:49:20.840 --> 00:49:23.840]   that Satan come and just relax.
[00:49:23.840 --> 00:49:26.840]   He doesn't need to fight against you.
[00:49:26.840 --> 00:49:29.840]   You know what's interesting? It says he goes and he comes back and he finds it swept,
[00:49:29.840 --> 00:49:32.840]   and the word for swept is "cosmeo."
[00:49:32.840 --> 00:49:36.840]   What is that word from? Cosmetic.
[00:49:36.840 --> 00:49:40.840]   Cosmetic. There's a superficial change.
[00:49:40.840 --> 00:49:43.840]   Nothing has drastically changed other than the decoration.
[00:49:43.840 --> 00:49:46.840]   You put some lipstick on.
[00:49:46.840 --> 00:49:53.840]   Remember in our modern day, you put a lipstick on a pig and it's still a pig.
[00:49:53.840 --> 00:49:57.840]   You put some eyelashes and you put some foundation and you just painted your face.
[00:49:57.840 --> 00:49:59.840]   That's all you did.
[00:49:59.840 --> 00:50:01.840]   But you're the same person.
[00:50:01.840 --> 00:50:05.840]   So there was a superficial change that took place.
[00:50:05.840 --> 00:50:08.840]   But it's the same person.
[00:50:08.840 --> 00:50:15.840]   In contrast, the Bible describes a Christian as being completely metamorphosized.
[00:50:15.840 --> 00:50:20.840]   In Romans chapter 12 it says, "Do not be conformed to this world, but be transformed by the renewing of your mind."
[00:50:20.840 --> 00:50:22.840]   The word "transformed" there is "metamorpho."
[00:50:22.840 --> 00:50:24.840]   What does that word sound like?
[00:50:24.840 --> 00:50:29.840]   To metamorphosize. Completely a different creature.
[00:50:29.840 --> 00:50:33.840]   That's why the Bible says that if anyone is in Christ, he's a new creation.
[00:50:33.840 --> 00:50:36.840]   The old has passed away, behold a new has come.
[00:50:36.840 --> 00:50:39.840]   You didn't just decorate it differently.
[00:50:39.840 --> 00:50:43.840]   This is in reference to these Pharisees.
[00:50:43.840 --> 00:50:47.840]   Who committed, they said, "You know, we're going to obey the law, we're going to do the right things."
[00:50:47.840 --> 00:50:51.840]   And somehow they believe that if they just obey the law meticulously,
[00:50:51.840 --> 00:50:55.840]   that somehow they're going to be able to climb this ladder toward God.
[00:50:55.840 --> 00:51:00.840]   And yet when their Messiah, the Christ, is standing right before them,
[00:51:00.840 --> 00:51:05.840]   not only do they miss Him, they say, "You're from the devil."
[00:51:05.840 --> 00:51:11.840]   Satan is not afraid of moral people.
[00:51:11.840 --> 00:51:15.840]   Satan is not afraid of smart people.
[00:51:15.840 --> 00:51:17.840]   He's smarter than us.
[00:51:17.840 --> 00:51:19.840]   He's more powerful than us.
[00:51:19.840 --> 00:51:24.840]   Every theology that you and I have gained, he knows it more than we do.
[00:51:24.840 --> 00:51:26.840]   And he can twist it.
[00:51:26.840 --> 00:51:34.840]   What protects us from the demonic world is something more powerful than them.
[00:51:34.840 --> 00:51:36.840]   And that's not us.
[00:51:36.840 --> 00:51:42.840]   In Ephesians 1, 13-14, it says, "You are sealed in Him with the Holy Spirit of promise,
[00:51:42.840 --> 00:51:47.840]   who is given as a pledge of our inheritance with view of the redemption of God's own possession,
[00:51:47.840 --> 00:51:49.840]   to the praise of His glory."
[00:51:49.840 --> 00:51:54.840]   The difference between a Christian and a non-Christian is who possesses Him.
[00:51:54.840 --> 00:51:57.840]   Who possesses Him.
[00:51:57.840 --> 00:52:01.840]   So people can come to church and temporarily clean up their act.
[00:52:01.840 --> 00:52:06.840]   They can raise their hand and say, "You know, I want Jesus."
[00:52:06.840 --> 00:52:09.840]   But then temporarily they go through all of that.
[00:52:09.840 --> 00:52:15.840]   And our churches are filled with people who raised their hand, made a decision,
[00:52:15.840 --> 00:52:19.840]   but they no longer have any evidence of the power of God in their life.
[00:52:19.840 --> 00:52:23.840]   They're singing songs, but they're not worshiping.
[00:52:23.840 --> 00:52:26.840]   They're participating in the church.
[00:52:26.840 --> 00:52:30.840]   There's no affection for God.
[00:52:30.840 --> 00:52:33.840]   What the demonic world is afraid of is not us.
[00:52:33.840 --> 00:52:34.840]   They're more powerful than us.
[00:52:34.840 --> 00:52:36.840]   They're smarter than us.
[00:52:36.840 --> 00:52:39.840]   They're better organized than us.
[00:52:39.840 --> 00:52:45.840]   To think that if we march and if we yell louder that somehow the demonic world is going to give in to us,
[00:52:45.840 --> 00:52:49.840]   that's a deception that the demons will celebrate.
[00:52:49.840 --> 00:52:59.840]   If we recognize how weak we are, the first thing that we must do is to cling to Christ with all our might.
[00:52:59.840 --> 00:53:02.840]   In 1 John 4:4, "You are from God, little children, and have overcome them,
[00:53:02.840 --> 00:53:06.840]   because greater is He who is in you than he who is in the world."
[00:53:06.840 --> 00:53:09.840]   He's talking about somebody who's trying to clean up his act on the outside,
[00:53:09.840 --> 00:53:17.840]   but he was never possessed by Christ.
[00:53:17.840 --> 00:53:26.840]   He was committed to being good, seeking purpose, to belonging somewhere.
[00:53:26.840 --> 00:53:29.840]   But the Holy Spirit never made an indwelling in him.
[00:53:29.840 --> 00:53:34.840]   In fact, there's a funny scene in Acts 19, 15-16, where the sons of Sceva,
[00:53:34.840 --> 00:53:38.840]   they hear about the power of Jesus and how Apostle Paul was preaching,
[00:53:38.840 --> 00:53:41.840]   and they decide, "We want some of that power."
[00:53:41.840 --> 00:53:47.840]   Sad to say, many people come into ministry with the same motivation as the sons of Sceva.
[00:53:47.840 --> 00:53:50.840]   They see people who are being fruitful and powerful and say, "I want to be like that.
[00:53:50.840 --> 00:53:52.840]   I want to be like that mega church pastor.
[00:53:52.840 --> 00:53:53.840]   I want to be an author.
[00:53:53.840 --> 00:53:54.840]   I want to be a great theologian."
[00:53:54.840 --> 00:54:01.840]   And they're motivated, thinking that somehow they're going to wield the power of God through their effort.
[00:54:01.840 --> 00:54:04.840]   So they come, and they try to cast out these demons, these sons of Sceva.
[00:54:04.840 --> 00:54:07.840]   And the demons speak to him, saying, "I recognize Jesus.
[00:54:07.840 --> 00:54:11.840]   I know about Paul, but who are you?"
[00:54:11.840 --> 00:54:18.840]   And the man in whom was the evil spirit leaped on them and subdued all of them and overpowered them,
[00:54:18.840 --> 00:54:22.840]   so they fled out of that house naked and wounded.
[00:54:22.840 --> 00:54:24.840]   Really funny scene.
[00:54:24.840 --> 00:54:31.840]   I've never seen anybody do this in a VBS skit.
[00:54:31.840 --> 00:54:37.840]   But basically, it's a warning that you cannot wield God's power simply because you say the right things.
[00:54:37.840 --> 00:54:39.840]   The power is not in us.
[00:54:39.840 --> 00:54:45.840]   The reason why the demons don't come back is because they see the Holy Spirit possessing the man.
[00:54:45.840 --> 00:54:51.840]   Because the Holy Spirit made an indwelling, and the Holy Spirit claimed us as his own.
[00:54:51.840 --> 00:54:53.840]   So they are not welcomed in this house.
[00:54:53.840 --> 00:54:57.840]   In fact, not only are they not welcomed, they're afraid.
[00:54:57.840 --> 00:55:06.840]   But in a home that casts out demons but never welcomed Christ has no power over the satanic world.
[00:55:06.840 --> 00:55:14.840]   In fact, it says he comes back with a vengeance, just like the people that I mentioned in the beginning.
[00:55:14.840 --> 00:55:19.840]   In Luke 11.26, then it goes and takes along seven other spirits more evil than itself,
[00:55:19.840 --> 00:55:25.840]   and they go in and live there, and the last state of that man becomes worse than the first.
[00:55:25.840 --> 00:55:31.840]   What nominal Christianity leads to is worse.
[00:55:31.840 --> 00:55:37.840]   Not only in our life, but in the life of our children, and it destroys the church, it destroys our witness,
[00:55:37.840 --> 00:55:46.840]   and the people who live nominally for a long period of time almost always ends up hating the church.
[00:55:46.840 --> 00:55:49.840]   And you ask them, "How many times have you been on the street trying to share the gospel with somebody?"
[00:55:49.840 --> 00:55:51.840]   And they say, "You know, I used to go to church."
[00:55:51.840 --> 00:55:54.840]   Church is filled with hypocrites.
[00:55:54.840 --> 00:55:58.840]   And I remember early on, every time I would go out and I would hear this,
[00:55:58.840 --> 00:56:02.840]   "The church needs to be reformed. The church, you know, the Christians aren't acting properly."
[00:56:02.840 --> 00:56:10.840]   And maybe that is true, but as time went by I realized what they're turned off by is not biblical Christianity.
[00:56:10.840 --> 00:56:16.840]   What they're turned off by is the nominal Christianity that the church has allowed.
[00:56:16.840 --> 00:56:25.840]   We're so afraid of offending nominal Christians that we build a church that is offensive to our holy God.
[00:56:25.840 --> 00:56:29.840]   And at the end of the day, we're not doing them any favor.
[00:56:29.840 --> 00:56:36.840]   They say, "The worst thing that you can do is make somebody in the church feel bad. Their life is hard enough as it is."
[00:56:36.840 --> 00:56:43.840]   "The worst thing that you can do is make somebody feel unloved by God."
[00:56:43.840 --> 00:56:53.840]   "The worst thing that you can do in the church is to deceive somebody who's going to face the truth after they die."
[00:56:53.840 --> 00:56:58.840]   "That what they have believed wasn't the right gospel to begin with."
[00:56:58.840 --> 00:57:01.840]   That's the worst thing that the church can do.
[00:57:01.840 --> 00:57:09.840]   To deceive nominal Christians to feel perfectly safe and there's no sense of urgency in their heart to get right with God.
[00:57:09.840 --> 00:57:23.840]   Because the church has accommodated every sin, every compromise, every bitterness, every jealousy, every coveting in order to retain them in the church.
[00:57:23.840 --> 00:57:36.840]   2 Peter 2, 20-22 says, "For if after they have escaped the defilement of the world, by the knowledge of the Lord and Savior Jesus Christ, they are again entangled in them and are overcome."
[00:57:36.840 --> 00:57:42.840]   Again, I want you to look at the language here. It says, "One, they escaped the defilement of the world superficially on the surface."
[00:57:42.840 --> 00:57:48.840]   "They seem like they turned, but they're entangled again and overcome."
[00:57:48.840 --> 00:57:52.840]   We're not talking about people who are struggling. Christians, we struggle.
[00:57:52.840 --> 00:57:54.840]   As long as we're in this flesh, there's a struggle going on.
[00:57:54.840 --> 00:57:58.840]   He's talking about somebody who's overcome and has given in, that that's who he is.
[00:57:58.840 --> 00:58:10.840]   "The last state has become worse for them than the first. For it would be better for them not to have known the way of the righteousness than having known it, to turn away from the holy commandments and hand it on to them."
[00:58:10.840 --> 00:58:18.840]   "It has happened to them according to the true proverb, 'A dog returns to his vomit, and a sow after washing returns to wallowing in the mire.'"
[00:58:18.840 --> 00:58:28.840]   I mean, the most grotesque thing that you can possibly picture in your head, God uses it to describe somebody who returns back to sin.
[00:58:28.840 --> 00:58:34.840]   You know why Christians don't go back to this? Because it's vomit.
[00:58:34.840 --> 00:58:48.840]   When our eyes become open to the glory of the gospel of Jesus Christ, even if I get jaded, even if I get hurt, even things become difficult and it's hard to persevere, what am I going to go back to?
[00:58:48.840 --> 00:58:54.840]   Vomit? No. We persevere because we don't want to go back there. Sometimes we want to quit.
[00:58:54.840 --> 00:58:58.840]   Sometimes it gets so hard, the burden becomes too strong for us.
[00:58:58.840 --> 00:59:06.840]   But we can't go back. We go back to that? They go back because they've never seen the glory of Christ.
[00:59:06.840 --> 00:59:14.840]   They've never come all the way to Christ. They've only superficially cleaned themselves.
[00:59:14.840 --> 00:59:18.840]   They want it to be loved.
[00:59:18.840 --> 00:59:29.840]   I mean, people do strange things to belong somewhere. Haircut, habits, just to belong.
[00:59:29.840 --> 00:59:35.840]   People's personality change, the way they talk change, their vocabulary change, because they want to belong to that group.
[00:59:35.840 --> 00:59:39.840]   Does that happen in the church? Of course.
[00:59:39.840 --> 00:59:47.840]   When people come into church wanting to belong, wanting to be loved, wanting to be part of a community, and the power behind that can change somebody superficially.
[00:59:47.840 --> 00:59:51.840]   They'll change their doctrine, they'll change the way they live, they change what they believe,
[00:59:51.840 --> 00:59:56.840]   all because they want to belong to the church, but it's never from true faith.
[00:59:56.840 --> 00:59:59.840]   Some people come to church because of an emotional decision.
[00:59:59.840 --> 01:00:04.840]   Maybe they were at a place and somebody gave a powerful, heart-wrenching sermon,
[01:00:04.840 --> 01:00:10.840]   and then they turned off the light and started playing their music all in minor keys,
[01:00:10.840 --> 01:00:14.840]   creating an environment where people are like, "Oh, me too."
[01:00:14.840 --> 01:00:20.840]   And as soon as the emotions die down, their motivation to follow Christ also dies with it.
[01:00:20.840 --> 01:00:28.840]   Some people misunderstood the gospel, whether deliberately from the preacher, or whether because of the way we heard it.
[01:00:28.840 --> 01:00:40.840]   They say, "You know what? If Jesus is going to clean my life, and he's going to help me with my marriage, and my children, and my business, and my walk, great!"
[01:00:40.840 --> 01:00:43.840]   And so they received the wrong gospel.
[01:00:43.840 --> 01:00:52.840]   And as a result of that, when their life doesn't match up to the gospel that they receive, they walk away from their faith.
[01:00:52.840 --> 01:00:56.840]   Some people come to church because of the weight of their mistakes.
[01:00:56.840 --> 01:01:01.840]   They screwed up in life and say, "You know what? The guilt of that, and how do I get rid of this guilt?"
[01:01:01.840 --> 01:01:06.840]   And they come and say, "If Jesus is going to forgive my sins, yeah, I want a clean slate."
[01:01:06.840 --> 01:01:10.840]   And so their guilt brings them to church, but they never come all the way to Christ.
[01:01:10.840 --> 01:01:16.840]   So as soon as they are no longer feeling guilty, they don't need Jesus anymore.
[01:01:16.840 --> 01:01:25.840]   Whatever the reason is, people come, and they walk away, never fully accepting Christ.
[01:01:25.840 --> 01:01:36.840]   You know that verse in 27-28, it seems like it's a completely different conversation, but in actuality, it's a continuation of the conversation that he's having.
[01:01:36.840 --> 01:01:41.840]   Verse 27-28 says, "While Jesus was saying these things, one of the women in the crowd raised her voice and said to him,
[01:01:41.840 --> 01:01:45.840]   'Blessed is the womb that bore you, and the breast at which you nursed.'
[01:01:45.840 --> 01:01:52.840]   But he said, 'On the contrary, blessed are those who hear the word of God and observe it.'"
[01:01:52.840 --> 01:01:57.840]   It looks like, well, he's talking about the demon possession, and how it goes back, and the second is worse than the first,
[01:01:57.840 --> 01:02:03.840]   and then all of a sudden he's like, "Blessed is the person who observes," right?
[01:02:03.840 --> 01:02:11.840]   It is directly connected, because what he is saying is, is somebody who has truly met Christ, who's been delivered.
[01:02:11.840 --> 01:02:16.840]   The evidence of true faith is that they're going to be observing the word of God.
[01:02:16.840 --> 01:02:18.840]   That's what he means by that.
[01:02:18.840 --> 01:02:25.840]   First thing that we say is, "Blessed is your mom who raised you," and Jesus says, "No, no, on the contrary."
[01:02:25.840 --> 01:02:30.840]   This is a direct indictment against the Catholics.
[01:02:30.840 --> 01:02:36.840]   It's like, somehow Mary is the way, how blessed she is, what a blessed saint that she is, and Jesus right here.
[01:02:36.840 --> 01:02:39.840]   No, no, no, you got that wrong.
[01:02:39.840 --> 01:02:41.840]   Mary is just another human being.
[01:02:41.840 --> 01:02:43.840]   Mary is not the one who's blessed.
[01:02:43.840 --> 01:02:49.840]   The one who's blessed who hears the word and who observes it as an evidence of genuine faith,
[01:02:49.840 --> 01:02:59.840]   that there was a genuine conversion that took place, and who's guarding you, protecting you, providing for you, is the Holy Spirit.
[01:02:59.840 --> 01:03:06.840]   In Luke 8.21, "He answered and said to them, 'My mother, my brothers are those who hear the word of God and do it.'"
[01:03:06.840 --> 01:03:10.840]   And then again in 8.31, 32 of John, which I read earlier, it says,
[01:03:10.840 --> 01:03:16.840]   "Jesus said to the Jews who had believed, 'If you continue in my word, then you are truly disciples of mine,
[01:03:16.840 --> 01:03:23.840]   and you will know the truth, and the truth will make you free.'"
[01:03:23.840 --> 01:03:30.840]   Is this message important in the church today?
[01:03:30.840 --> 01:03:35.840]   The superficial nominal Christianity.
[01:03:35.840 --> 01:03:44.840]   If Jesus wasn't really resurrected from the dead, and this is a placebo, if this is really just a placebo,
[01:03:44.840 --> 01:03:48.840]   that life is hard and we need religion, we need to have some hope, any hopes.
[01:03:48.840 --> 01:03:54.840]   We need to have some hope because life is hard, and having hope helps us with life.
[01:03:54.840 --> 01:03:58.840]   That one day, no matter how difficult it gets, that we're going to die and we're going to go to heaven, eternity,
[01:03:58.840 --> 01:04:03.840]   whether that's real or not, the benefit of believing that,
[01:04:03.840 --> 01:04:07.840]   the benefit of believing that is worth coming to church and doing all this stuff.
[01:04:07.840 --> 01:04:18.840]   If it's a placebo, then if that's the case, then the end goal is your happiness.
[01:04:18.840 --> 01:04:21.840]   The end goal is your encouragement.
[01:04:21.840 --> 01:04:24.840]   You need to leave church every Sunday, no matter how difficult life was,
[01:04:24.840 --> 01:04:27.840]   you come and you feel uplifted and you're encouraged.
[01:04:27.840 --> 01:04:31.840]   Because if this is a placebo, that should be the end goal.
[01:04:31.840 --> 01:04:38.840]   To fill the churches where you're blessed, where you're encouraged, and the church will grow, people will gather.
[01:04:38.840 --> 01:04:44.840]   And guess what? The largest church in America is Joel Osteen's church,
[01:04:44.840 --> 01:04:48.840]   whose committed doctrinal statement is that.
[01:04:48.840 --> 01:04:53.840]   We want you to leave encouraged and strengthened, if it's a placebo.
[01:04:53.840 --> 01:04:59.840]   But if he was really resurrected from the dead, if he was really resurrected from the dead,
[01:04:59.840 --> 01:05:05.840]   and this world is under the judgment of God, and all have sinned and fall short of the glory of God,
[01:05:05.840 --> 01:05:12.840]   that one day when we die, we're going to stand before the judgment seat.
[01:05:12.840 --> 01:05:19.840]   And if we lived all our lives superficially, being tagged as a Christian,
[01:05:19.840 --> 01:05:26.840]   we were an admirer of Jesus, but we never were possessed by him.
[01:05:26.840 --> 01:05:30.840]   Then the greatest goal in the church is not your happiness.
[01:05:30.840 --> 01:05:34.840]   The greatest goal in the church is not your encouragement.
[01:05:34.840 --> 01:05:42.840]   It's truth, that makes sure you hear his voice, that makes sure you heed his truth,
[01:05:42.840 --> 01:05:47.840]   and that the word of God gets into you, and that every single person in this room is possessed by Jesus.
[01:05:47.840 --> 01:05:53.840]   Not just admire Jesus, not just like Jesus, but be possessed by Jesus.
[01:05:53.840 --> 01:05:58.840]   That I can't live my life without Christ.
[01:05:58.840 --> 01:06:02.840]   My life would make no sense without Christ.
[01:06:02.840 --> 01:06:05.840]   Every hope that I have is based on Christ.
[01:06:05.840 --> 01:06:09.840]   Every power that I cling to is because of Christ.
[01:06:09.840 --> 01:06:13.840]   Every courage I have to live is because of what Jesus has.
[01:06:13.840 --> 01:06:17.840]   A nominal Christian doesn't know any of that.
[01:06:17.840 --> 01:06:24.840]   A nominal Christian just looks at it, and all he feels is the burden of the law,
[01:06:24.840 --> 01:06:27.840]   without the deliverance of the Holy Spirit.
[01:06:27.840 --> 01:06:30.840]   No wonder it's miserable.
[01:06:30.840 --> 01:06:33.840]   It's miserable for nominal Christians.
[01:06:33.840 --> 01:06:37.840]   Because you have the weight of your sins in the world, and you have the weight of the law and the guilt in the church,
[01:06:37.840 --> 01:06:42.840]   and so all you did was double up your guilt.
[01:06:42.840 --> 01:06:47.840]   But when Jesus says, "If the Son sets you free, you will be free indeed."
[01:06:47.840 --> 01:06:52.840]   Is this important in our church, in our generation?
[01:06:52.840 --> 01:06:57.840]   No, it's critical. It's critical.
[01:06:57.840 --> 01:07:01.840]   Even if you don't like what I have to say, even if people don't want to come,
[01:07:01.840 --> 01:07:06.840]   even if they point fingers and say, "These guys are a bunch of legalists, all they do is judge."
[01:07:06.840 --> 01:07:13.840]   The truth has to be preached, if this is not a placebo.
[01:07:13.840 --> 01:07:19.840]   The greatest thing that you will gain from the church is the true Christ.
[01:07:19.840 --> 01:07:23.840]   Not my love, not the love of your friends,
[01:07:23.840 --> 01:07:28.840]   not a place where you belong, not purpose, not education, not training,
[01:07:28.840 --> 01:07:33.840]   but Christ, the resurrected Christ.
[01:07:33.840 --> 01:07:40.840]   I pray that the study of the Word of God, not just this text, but every text that we open up,
[01:07:40.840 --> 01:07:43.840]   will judge the thoughts and intentions of our heart,
[01:07:43.840 --> 01:07:50.840]   because everything that we warn about what's happening is not just outside.
[01:07:50.840 --> 01:07:55.840]   It's also in here, if we're not careful.
[01:07:55.840 --> 01:08:01.840]   Let's commit to come all the way to Christ.
[01:08:01.840 --> 01:08:05.840]   Don't just admire Jesus. Don't just sit there, be part of the church.
[01:08:05.840 --> 01:08:08.840]   Come all the way to Christ.
[01:08:08.840 --> 01:08:14.840]   To be able to say, from personal testimony, when He said, "I have come to give life, give this life abundantly,"
[01:08:14.840 --> 01:08:18.840]   that this is not just a doctrinal statement, that this is your testimony,
[01:08:18.840 --> 01:08:21.840]   that we would worship God in spirit and in truth.
[01:08:21.840 --> 01:08:28.840]   Let's pray.
[01:08:28.840 --> 01:08:32.840]   Father, help us to lift up your name.
[01:08:32.840 --> 01:08:35.840]   If there's any soul, even one soul in this room, Lord God,
[01:08:35.840 --> 01:08:39.840]   who has superficially confessed faith in you and they do not actually know you,
[01:08:39.840 --> 01:08:50.840]   I pray that the power of your Word and your Holy Spirit would convict, restore, strengthen, revive, renew us, Lord God,
[01:08:50.840 --> 01:08:57.840]   that we would become yours, that we would be your home,
[01:08:57.840 --> 01:09:03.840]   that we would be followers and lovers and worshipper of Christ in spirit and in truth.
[01:09:03.840 --> 01:09:05.840]   In Jesus' name we pray. Amen.
[01:09:05.840 --> 01:09:15.840]   Let's all stand up for the closing praise.
[01:09:15.840 --> 01:09:41.840]   God, the uncreated One, the uncreated One, the author of salvation,
[01:09:41.840 --> 01:09:53.840]   the loves of space and time and fashion worlds to His design.
[01:09:53.840 --> 01:10:00.840]   One whom angels most revere, among the stars like chandeliers,
[01:10:00.840 --> 01:10:07.840]   numbered every grain of sand, knows the heart of every man.
[01:10:07.840 --> 01:10:29.840]   He is here forever. He is here forever. He is here forevermore.
[01:10:29.840 --> 01:10:36.840]   God, our fortress. God, our fortress and our strength,
[01:10:36.840 --> 01:10:43.840]   the rock on which we can't deal with.
[01:10:43.840 --> 01:10:55.840]   Matchless in His majesty, His power and authority.
[01:10:55.840 --> 01:11:02.840]   Shaken by the schemes of man, never changing, great I am.
[01:11:02.840 --> 01:11:09.840]   Kingdoms rise and kingdoms fall. He is faithful through it all.
[01:11:09.840 --> 01:11:21.840]   Crown Him, King forever. Crown Him, King forever. Crown Him, King forevermore.
[01:11:22.840 --> 01:11:32.840]   [instrumental]
[01:11:32.840 --> 01:11:44.840]   Man begot in mortal flesh, forsaken by a traitor's kiss.
[01:11:44.840 --> 01:11:56.840]   The curse of sin and centuries did pierce the lowly prince of peace.
[01:11:56.840 --> 01:12:03.840]   Lifted high the sinless man, crucified the smallest lamb.
[01:12:03.840 --> 01:12:10.840]   Married by the sons of men, rescued by the Father's hand.
[01:12:10.840 --> 01:12:24.840]   Reign as King forever. Reign as King forever. Reign as King forevermore.
[01:12:24.840 --> 01:12:36.840]   Eternal God of grace, we crown You with the hottest praise.
[01:12:36.840 --> 01:12:48.840]   Holy shouts and saints adore Your holy, holy, holy Lord.
[01:12:48.840 --> 01:12:55.840]   For joy and everlasting life, all is love and goodness side.
[01:12:55.840 --> 01:13:02.840]   Justice flows and praises rise at the name of Jesus Christ.
[01:13:02.840 --> 01:13:13.840]   King of kings forever. King of kings forever. King of kings forevermore.
[01:13:13.840 --> 01:13:16.840]   [instrumental]
[01:13:16.840 --> 01:13:27.840]   King of kings forever. King of kings forever. King of kings forevermore.
[01:13:27.840 --> 01:13:41.840]   [instrumental]
[01:13:41.840 --> 01:13:46.840]   Let's pray. Now the grace of our Lord Jesus Christ,
[01:13:46.840 --> 01:13:53.840]   and the fellowship of the Holy Spirit, and the love and the power of God our Father,
[01:13:53.840 --> 01:14:01.840]   protect us, possess us, empower us, and guide us,
[01:14:01.840 --> 01:14:05.840]   that all of God's children will hear the voice of Christ,
[01:14:05.840 --> 01:14:13.840]   and Christ alone, and to find our refuge in Him, in Him alone.
[01:14:13.840 --> 01:14:17.840]   Lord, we pray for revival in our generation.
[01:14:17.840 --> 01:14:21.840]   Help us to be a reflection, Lord God, of Your true grace.
[01:14:21.840 --> 01:14:24.840]   Help us, Lord God, to establish a church that honors You,
[01:14:24.840 --> 01:14:27.840]   worships You in spirit and in truth.
[01:14:27.840 --> 01:14:31.840]   Lord, we live among people who do not know You.
[01:14:31.840 --> 01:14:35.840]   Lord, we live, Lord God, with so many people surrounded, Lord God,
[01:14:35.840 --> 01:14:39.840]   who do not know the true resurrected Christ.
[01:14:39.840 --> 01:14:43.840]   Help us to be bold. Help us to sense of urgency.
[01:14:43.840 --> 01:14:47.840]   Help us to know so that we would number our days.
[01:14:47.840 --> 01:14:51.840]   That whatever it is that we are coveting, whatever it is that we are afraid of,
[01:14:51.840 --> 01:14:57.840]   whatever is making us anxious, help us, Lord God, see it through the lens of eternity.
[01:14:57.840 --> 01:15:02.840]   The hope that we have in Christ, may it grip us, empower us,
[01:15:02.840 --> 01:15:05.840]   and cause us to bear fruit wherever You send us.
[01:15:05.840 --> 01:15:07.840]   In Jesus' name we pray. Amen.
[01:15:07.840 --> 01:15:19.840]   God sent His Son. They called Him Jesus.
[01:15:19.840 --> 01:15:36.840]   He came to them. He'll never forgive. He'll hold them down.
[01:15:36.840 --> 01:15:53.840]   To find my partner, an empty grave is there to keep my Savior next.
[01:15:53.840 --> 01:16:15.840]   Because He lives, I can face tomorrow. Because He lives, all fear is gone.
[01:16:15.840 --> 01:16:41.840]   Because I know He holds the future, and life is worth the living just because He lives.
[01:16:42.840 --> 01:17:07.840]   ♪♪♪
[01:17:07.840 --> 01:17:19.840]   Holy, holy is the Son of God. None can stand before His majesty.
[01:17:19.840 --> 01:17:31.840]   Beautiful beyond our highest thought. Worthy, He is worthy.
[01:17:31.840 --> 01:17:43.840]   Holy, holy is the Word made flesh. King who bore our pain and poverty.
[01:17:43.840 --> 01:17:55.840]   Come to claim the rebel and the wretch. Worthy, He is worthy.
[01:17:55.840 --> 01:18:01.840]   All glory and honor, all power and praise.

